,age,workclass,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
360100,44,Private,12,Married-civ-spouse,Husband,White,Male,2275,0,27,0
360101,54,Private,12,Married-civ-spouse,Husband,White,Male,0,0,88,0
360102,44,Private,6,Married-civ-spouse,Husband,Black,Male,0,0,40,0
360103,44,Private,12,Married-civ-spouse,Not-in-family,White,Male,0,0,5,0
360104,44,Private,12,Married-civ-spouse,Husband,Other,Male,0,0,90,0
360105,44,Private,2,Married-civ-spouse,Husband,White,Male,0,0,40,0
360106,44,Private,12,Separated,Husband,White,Male,0,3655,40,0
360107,44,Private,12,Married-civ-spouse,Husband,White,Male,0,0,22,0
360108,44,Local-gov,12,Married-civ-spouse,Unmarried,White,Male,0,0,40,0
360109,44,Private,12,Separated,Other-relative,White,Male,0,0,40,0
360110,70,Private,16,Married-civ-spouse,Husband,Black,Male,0,0,40,1
360111,70,Private,7,Never-married,Husband,White,Male,55840,0,40,1
360112,70,Private,7,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,40822,0,40,1
360113,70,Private,7,Married-civ-spouse,Husband,White,Male,98819,0,40,1
360114,24,Private,7,Married-civ-spouse,Husband,White,Male,99026,0,40,1
360115,70,Private,7,Married-civ-spouse,Husband,White,Male,89624,0,40,1
360116,70,Private,13,Married-civ-spouse,Husband,White,Male,37856,0,40,1
360117,70,Self-emp-not-inc,7,Married-civ-spouse,Husband,White,Male,27935,0,40,1
360118,70,Private,7,Married-civ-spouse,Husband,White,Male,43274,0,40,1
360119,70,Private,7,Married-civ-spouse,Husband,White,Male,27674,3516,40,1
360120,17,Private,8,Never-married,Not-in-family,White,Female,64644,0,6,1
360121,48,Private,8,Never-married,Own-child,White,Female,45212,0,6,1
360122,75,Private,8,Never-married,Own-child,White,Female,78168,0,6,1
360123,33,Private,8,Never-married,Own-child,White,Female,27147,0,6,1
360124,85,Private,8,Never-married,Own-child,White,Female,47770,0,6,1
360125,17,Private,8,Never-married,Own-child,Black,Female,17982,0,6,0
360126,17,Private,15,Never-married,Own-child,White,Female,42439,0,6,1
360127,17,Private,12,Never-married,Own-child,White,Female,17244,0,6,1
360128,17,Private,16,Never-married,Own-child,White,Female,27627,0,6,1
360129,21,Private,8,Never-married,Own-child,White,Female,21364,0,6,1
360130,33,State-gov,8,Married-civ-spouse,Husband,Black,Male,0,0,50,0
360131,33,State-gov,2,Married-civ-spouse,Husband,White,Male,0,0,8,0
360132,33,State-gov,10,Married-civ-spouse,Husband,White,Male,0,0,30,0
360133,33,State-gov,16,Married-civ-spouse,Other-relative,White,Male,0,0,24,0
360134,33,State-gov,6,Married-AF-spouse,Husband,White,Male,0,0,50,0
360135,27,State-gov,13,Married-civ-spouse,Husband,White,Male,0,0,50,0
360136,33,State-gov,6,Married-civ-spouse,Husband,White,Male,0,3538,50,0
360137,33,State-gov,16,Married-civ-spouse,Other-relative,Other,Male,0,0,50,0
360138,24,State-gov,16,Married-civ-spouse,Husband,Black,Male,0,0,50,0
360139,33,Local-gov,6,Married-civ-spouse,Husband,White,Male,0,0,50,0
360140,62,Private,10,Married-civ-spouse,Husband,White,Male,90634,0,40,1
360141,62,Private,15,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,40,1
360142,57,Private,10,Married-civ-spouse,Husband,White,Male,0,0,40,1
360143,62,Private,10,Married-civ-spouse,Husband,Other,Male,83858,0,40,1
360144,62,Private,10,Married-civ-spouse,Husband,White,Male,72839,0,40,1
360145,62,Private,11,Married-civ-spouse,Husband,White,Male,72839,0,40,1
360146,62,Private,10,Married-civ-spouse,Husband,White,Male,72926,515,40,1
360147,62,Federal-gov,10,Married-civ-spouse,Husband,White,Male,0,208,40,1
360148,62,Private,10,Married-civ-spouse,Husband,Black,Male,0,2504,40,1
360149,62,Private,10,Widowed,Husband,White,Male,32077,0,40,1
360150,34,Private,10,Never-married,Not-in-family,White,Male,48007,0,40,1
360151,34,Private,10,Never-married,Not-in-family,White,Male,17974,0,40,1
360152,34,Private,10,Never-married,Not-in-family,White,Male,78717,0,40,1
360153,34,Private,10,Never-married,Not-in-family,White,Male,81097,0,40,1
360154,34,Private,10,Never-married,Not-in-family,White,Male,46038,0,52,1
360155,34,Private,10,Never-married,Not-in-family,White,Male,63037,2592,40,1
360156,79,Private,10,Never-married,Not-in-family,White,Male,0,0,40,1
360157,34,Private,10,Never-married,Not-in-family,White,Male,95519,0,40,1
360158,34,Federal-gov,10,Never-married,Not-in-family,White,Male,94906,0,40,1
360159,34,Private,10,Never-married,Not-in-family,White,Male,6788,0,40,1
360160,23,Private,13,Never-married,Own-child,White,Male,51074,0,30,1
360161,23,Private,13,Never-married,Own-child,White,Male,15160,0,20,1
360162,23,Private,13,Never-married,Own-child,White,Male,24395,0,20,1
360163,23,Private,13,Widowed,Own-child,White,Male,0,2691,20,1
360164,23,Private,13,Never-married,Own-child,Other,Male,15160,0,20,1
360165,23,Private,13,Never-married,Own-child,Other,Male,31495,0,20,1
360166,56,Private,13,Never-married,Own-child,White,Male,39244,0,20,1
360167,59,Private,13,Never-married,Own-child,White,Male,90064,0,20,1
360168,23,Private,13,Never-married,Own-child,White,Male,39268,0,20,1
360169,23,Private,13,Never-married,Own-child,White,Male,0,2408,80,1
360170,24,Private,10,Never-married,Own-child,White,Male,25954,0,10,1
360171,24,Private,10,Never-married,Own-child,White,Male,82850,0,49,1
360172,24,Private,10,Never-married,Husband,White,Male,19649,0,10,1
360173,24,Private,10,Widowed,Own-child,White,Male,47266,0,10,1
360174,77,Private,10,Never-married,Own-child,White,Male,78353,0,10,1
360175,24,Private,11,Never-married,Own-child,White,Male,42044,0,10,1
360176,24,Private,10,Never-married,Wife,White,Male,31445,0,10,1
360177,24,Private,10,Married-AF-spouse,Own-child,White,Male,30563,0,10,1
360178,83,Private,10,Never-married,Own-child,White,Male,51894,0,10,1
360179,24,Private,10,Never-married,Own-child,White,Male,51693,0,90,1
360180,31,Local-gov,10,Never-married,Own-child,Black,Male,26020,0,27,1
360181,31,Local-gov,10,Never-married,Own-child,Black,Male,25983,0,40,1
360182,31,Local-gov,10,Never-married,Own-child,Black,Male,77031,0,40,1
360183,31,Local-gov,10,Never-married,Own-child,Black,Male,80266,0,40,1
360184,31,Local-gov,14,Never-married,Own-child,Black,Male,25859,0,40,1
360185,31,Local-gov,10,Married-spouse-absent,Own-child,Black,Male,43088,0,40,1
360186,31,Local-gov,3,Never-married,Own-child,Black,Male,71885,0,40,1
360187,31,Local-gov,10,Never-married,Own-child,Black,Male,82920,0,40,1
360188,31,Local-gov,10,Never-married,Own-child,Black,Male,70090,0,40,1
360189,31,Local-gov,10,Never-married,Unmarried,Black,Male,23753,0,40,1
360190,41,Private,9,Separated,Husband,White,Male,0,0,40,0
360191,53,Private,7,Separated,Husband,White,Male,0,0,40,0
360192,53,Private,9,Widowed,Husband,White,Male,0,0,72,0
360193,53,Private,7,Married-civ-spouse,Husband,White,Male,0,0,24,0
360194,53,Private,9,Widowed,Husband,White,Male,0,0,38,0
