,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-loss,hours-per-week,income
9497,78,Private,217961,9,Never-married,Unmarried,White,Male,2788,45,1
9498,18,Private,285897,9,Married-civ-spouse,Husband,White,Male,3047,45,0
9499,74,Private,464552,15,Never-married,Not-in-family,White,Male,0,40,1
9500,38,Private,200192,6,Married-civ-spouse,Husband,White,Male,0,60,0
9501,54,Private,229272,9,Married-AF-spouse,Husband,Amer-Indian-Eskimo,Male,0,40,0
9502,78,Self-emp-inc,188044,13,Married-spouse-absent,Husband,White,Male,1179,40,0
9503,65,Local-gov,200764,9,Divorced,Not-in-family,White,Female,0,74,0
9504,38,Private,132130,10,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,40,0
9505,48,State-gov,224752,9,Married-civ-spouse,Husband,White,Female,0,70,0
9506,62,Self-emp-inc,118725,9,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,72,0
9507,53,Private,236746,9,Married-AF-spouse,Husband,White,Male,0,40,0
9508,52,Local-gov,99736,14,Divorced,Unmarried,White,Male,0,42,0
9509,41,Federal-gov,153132,4,Married-civ-spouse,Husband,Black,Male,0,38,0
9510,40,Private,510072,13,Never-married,Husband,Black,Male,0,55,0
9511,59,Self-emp-not-inc,211678,14,Married-civ-spouse,Husband,White,Male,3589,15,1
9512,46,Federal-gov,124071,14,Divorced,Unmarried,Other,Female,0,65,0
9513,45,Private,102559,11,Separated,Husband,Black,Male,0,40,0
9514,32,State-gov,177855,9,Married-civ-spouse,Husband,White,Male,0,30,0
9515,42,Self-emp-not-inc,30673,13,Married-civ-spouse,Husband,White,Male,0,50,0
9516,57,Private,339905,9,Married-civ-spouse,Husband,White,Male,1691,40,0
9517,49,Local-gov,137900,13,Divorced,Unmarried,Black,Female,3424,40,1
9518,44,Federal-gov,259307,13,Married-civ-spouse,Unmarried,White,Male,0,6,0
9519,54,Local-gov,31533,14,Married-civ-spouse,Other-relative,Black,Male,0,40,0
9520,59,Local-gov,109089,10,Married-civ-spouse,Other-relative,White,Female,0,16,0
9521,77,Self-emp-inc,127315,11,Married-civ-spouse,Husband,White,Male,0,60,0
9522,35,Federal-gov,191779,10,Divorced,Husband,White,Male,0,40,0
9523,34,State-gov,467108,10,Married-civ-spouse,Not-in-family,White,Male,0,50,0
9524,37,Private,92028,13,Never-married,Not-in-family,White,Male,3234,56,1
9525,52,Private,89160,8,Never-married,Unmarried,White,Female,2693,18,0
9526,21,Private,107895,10,Never-married,Not-in-family,White,Male,3351,35,1
9527,49,Private,291783,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,18,0
9528,43,Private,131620,13,Married-spouse-absent,Own-child,White,Female,3170,40,1
9529,64,Self-emp-not-inc,267546,12,Separated,Not-in-family,White,Female,0,35,0
9530,34,Private,156464,3,Divorced,Not-in-family,White,Male,0,85,0
9531,45,Private,55720,13,Widowed,Other-relative,White,Male,0,40,0
9532,40,Private,339814,10,Married-civ-spouse,Husband,White,Male,0,67,0
9533,40,Self-emp-inc,200766,9,Never-married,Not-in-family,Black,Male,0,43,0
9534,48,Local-gov,258589,13,Married-civ-spouse,Not-in-family,White,Male,0,60,0
9535,29,Private,69757,13,Widowed,Other-relative,White,Female,3220,50,1
9536,77,Self-emp-inc,224799,10,Married-civ-spouse,Husband,White,Male,0,40,1
9537,25,Private,443508,13,Married-civ-spouse,Wife,White,Male,0,48,0
9538,26,Self-emp-not-inc,218993,13,Never-married,Own-child,White,Male,3234,40,1
9539,44,Private,77370,13,Divorced,Not-in-family,White,Male,1238,40,0
9540,49,Private,101709,10,Never-married,Not-in-family,White,Female,1564,40,0
9541,52,Self-emp-not-inc,123011,5,Married-civ-spouse,Husband,White,Female,0,50,0
9542,31,Private,160594,9,Married-civ-spouse,Husband,White,Male,60,50,0
9543,36,Private,34378,4,Never-married,Unmarried,White,Male,2705,60,1
9544,34,Federal-gov,108837,10,Widowed,Husband,White,Male,0,40,0
9545,36,Private,1226583,12,Married-civ-spouse,Husband,White,Female,0,37,1
9546,33,Private,182423,9,Divorced,Unmarried,Black,Male,2797,48,1
9547,46,State-gov,106444,10,Widowed,Husband,Black,Male,0,56,0
9548,41,Federal-gov,173316,9,Married-civ-spouse,Husband,Other,Male,0,40,1
9549,46,Private,186256,10,Married-civ-spouse,Husband,White,Male,414,55,0
9550,40,Private,197344,1,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,65,0
9551,60,Without-pay,103344,9,Married-civ-spouse,Husband,White,Male,2577,40,0
9552,38,Private,248476,11,Married-civ-spouse,Husband,White,Male,0,40,1
9553,56,Private,589809,10,Married-civ-spouse,Husband,White,Male,0,40,0
9554,29,State-gov,214881,13,Married-civ-spouse,Own-child,White,Male,0,40,0
9555,48,Self-emp-inc,36020,13,Married-civ-spouse,Own-child,White,Male,0,25,0
9556,53,Private,114758,14,Never-married,Husband,Other,Male,0,65,0
9557,60,Private,145493,15,Divorced,Not-in-family,White,Female,3276,40,1
9558,50,State-gov,296253,13,Married-civ-spouse,Not-in-family,White,Male,0,40,0
9559,53,Self-emp-inc,42924,16,Divorced,Not-in-family,White,Male,0,12,0
9560,55,State-gov,111130,15,Divorced,Own-child,Asian-Pac-Islander,Male,0,66,0
9561,35,Private,211494,13,Never-married,Not-in-family,White,Male,3534,55,1
9562,41,Private,170866,13,Married-civ-spouse,Husband,White,Male,0,39,0
9563,61,State-gov,186451,11,Separated,Husband,White,Male,1902,40,0
9564,36,Without-pay,135289,13,Married-civ-spouse,Unmarried,White,Male,0,48,0
9565,30,Private,114912,12,Married-civ-spouse,Husband,White,Male,977,60,0
9566,32,Private,127875,13,Never-married,Wife,White,Female,0,48,0
9567,47,Private,78870,10,Divorced,Not-in-family,Black,Male,0,48,0
