,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-loss,hours-per-week,income
89,46,Private,265266,6,Never-married,Husband,White,Male,1902,40,0
90,34,Private,455379,13,Never-married,Husband,White,Male,0,60,0
91,53,State-gov,43235,9,Married-civ-spouse,Wife,White,Female,786,40,0
92,30,Private,207937,14,Divorced,Not-in-family,White,Male,0,30,0
93,25,Private,207937,10,Married-civ-spouse,Wife,Black,Female,0,60,0
94,54,Private,162745,9,Married-civ-spouse,Husband,White,Male,2130,55,0
95,47,State-gov,199512,13,Never-married,Husband,White,Male,0,40,0
96,52,Private,170562,9,Married-civ-spouse,Husband,White,Male,1612,60,0
97,50,Private,146325,9,Married-civ-spouse,Not-in-family,White,Male,2091,44,0
98,45,Private,198693,15,Never-married,Not-in-family,White,Male,0,30,0
99,31,Private,101352,13,Married-civ-spouse,Other-relative,White,Female,0,40,1
100,40,Self-emp-inc,72887,11,Married-civ-spouse,Other-relative,Asian-Pac-Islander,Male,0,40,0
101,47,State-gov,185590,13,Married-civ-spouse,Own-child,White,Female,0,40,1
102,44,Local-gov,24982,10,Divorced,Husband,White,Male,1386,40,0
103,41,State-gov,170562,14,Married-civ-spouse,Husband,White,Female,0,40,0
104,50,Private,269095,13,Never-married,Husband,White,Female,0,40,0
105,31,State-gov,116677,13,Married-civ-spouse,Wife,White,Male,0,40,1
106,37,Private,71592,13,Married-civ-spouse,Other-relative,Asian-Pac-Islander,Female,2407,17,1
107,55,Private,142076,9,Married-civ-spouse,Husband,White,Male,0,60,0
108,33,Private,110978,15,Married-civ-spouse,Other-relative,Other,Female,0,40,1
109,57,Self-emp-inc,142076,9,Married-civ-spouse,Not-in-family,White,Male,0,40,0
110,33,Private,232475,9,Married-civ-spouse,Husband,White,Male,2340,40,0
111,45,Private,160369,9,Married-civ-spouse,Husband,White,Male,2415,45,0
112,41,Private,36006,13,Married-civ-spouse,Husband,White,Male,0,17,0
113,38,Private,455379,14,Never-married,Other-relative,White,Male,0,60,0
114,33,Private,372181,9,Divorced,Unmarried,Asian-Pac-Islander,Female,0,40,0
115,46,Private,105253,14,Never-married,Own-child,White,Male,1977,50,0
116,44,Private,43235,13,Divorced,Husband,White,Male,0,50,0
117,60,Self-emp-inc,105339,13,Married-civ-spouse,Own-child,Other,Male,0,60,0
118,37,Private,268525,13,Never-married,Not-in-family,White,Male,361,50,0
