,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
719,1,4,no credits taken/all credits paid back duly,radio/television,1217,unknown/no savings account,2,0,female : single,none,1,unknown / no property,47,none,rent,5-Apr,unskilled - resident,0 to 2,yes (under customer name),no,1
720,0,24,no credits taken/all credits paid back duly,furniture/equipment,2397,100 <= ... <  500 DM,4,1,male : married/widowed,none,2,building soc. savings agr./life insurance,25,bank,rent,3-Feb,skilled employee/official,0 to 2,no,no,1
721,2,8,all credits at this bank paid back duly,retraining,6416,unknown/no savings account,4,0,female : non-single or male : single,none,1,real estate,59,none,for free,1,skilled employee/official,0 to 2,no,no,1
722,1,18,no credits taken/all credits paid back duly,repairs,750,unknown/no savings account,0,0,female : non-single or male : single,none,3,unknown / no property,27,none,rent,1,unemployed/unskilled - non-resident,0 to 2,yes (under customer name),no,1
723,3,18,all credits at this bank paid back duly,domestic appliances,2321,unknown/no savings account,0,2,female : non-single or male : single,none,0,real estate,55,none,own,5-Apr,unemployed/unskilled - non-resident,3 or more,no,no,0
724,1,12,critical account/other credits elsewhere,repairs,9739,... >= 1000 DM,1,2,male : married/widowed,none,3,car or other,37,none,rent,3-Feb,manager/self-empl./highly qualif. employee,3 or more,no,no,0
725,1,36,all credits at this bank paid back duly,car (used),12261,unknown/no savings account,2,1,female : single,none,2,car or other,46,none,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
726,0,12,all credits at this bank paid back duly,furniture/equipment,11970,... >= 1000 DM,4,0,male : divorced/separated,none,1,car or other,33,none,rent,1,unskilled - resident,3 or more,no,no,1
727,1,24,all credits at this bank paid back duly,car (used),4281,100 <= ... <  500 DM,2,3,female : non-single or male : single,none,0,building soc. savings agr./life insurance,66,none,rent,3-Feb,skilled employee/official,0 to 2,no,no,1
728,2,30,delay in paying off in the past,retraining,4280,... <  100 DM,2,0,female : non-single or male : single,none,3,building soc. savings agr./life insurance,26,none,rent,3-Feb,unskilled - resident,0 to 2,no,no,1
729,1,12,no credits taken/all credits paid back duly,others,1274,unknown/no savings account,1,1,male : divorced/separated,none,3,unknown / no property,37,none,rent,1,unskilled - resident,0 to 2,no,no,1
730,1,24,critical account/other credits elsewhere,car (new),6615,unknown/no savings account,0,2,male : married/widowed,none,0,real estate,75,none,rent,3-Feb,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,0
731,1,18,no credits taken/all credits paid back duly,car (used),2473,unknown/no savings account,0,0,male : married/widowed,none,3,car or other,25,none,rent,1,unemployed/unskilled - non-resident,0 to 2,no,yes,1
732,1,60,no credits taken/all credits paid back duly,car (used),601,unknown/no savings account,1,3,female : non-single or male : single,none,1,unknown / no property,23,none,for free,1,unskilled - resident,3 or more,no,no,0
733,0,12,no credits taken/all credits paid back duly,others,11371,100 <= ... <  500 DM,2,2,female : non-single or male : single,none,2,car or other,26,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
