,A15,A14,A13,A12,A11,A10,A9,A8,A7,A6,A5,A4,A3,A2,A1,A16
1160090,0,228.0,g,f,54,f,t,0.5,h,d,g,u,13.0,29.25,b,1
1160091,20787,228.0,g,f,0,f,t,0.5,h,d,g,u,13.0,29.25,b,1
1160092,0,228.0,g,f,43,f,t,0.5,h,d,g,u,13.0,29.25,b,1
1160093,11680,0.0,g,f,0,f,t,0.04,v,m,p,y,0.04,31.83,b,1
1160094,0,0.0,g,f,10,f,t,0.04,v,m,p,y,0.04,31.83,b,1
1160095,0,0.0,g,t,0,f,t,0.04,v,m,p,y,0.04,31.83,b,1
1160096,0,560.0,s,f,1,t,f,0.04,v,e,g,u,9.09,41.0,b,0
1160097,0,560.0,s,f,1,t,f,0.04,v,e,g,u,5.53,41.0,b,0
1160098,0,560.0,g,f,1,t,f,0.04,bb,e,g,u,0.04,41.0,b,0
1160099,69375,163.0,g,t,0,f,t,0.25,bb,k,g,u,1.75,34.25,b,1
1160100,39072,163.0,g,t,0,f,t,0.25,bb,w,g,u,1.75,34.25,b,1
1160101,41936,163.0,g,t,0,f,t,0.25,bb,w,g,u,1.75,34.25,b,1
1160102,0,204.0,g,f,6,t,f,4.25,v,m,g,u,2.75,49.55,b,0
1160103,0,204.0,g,f,6,t,f,4.25,v,m,g,u,2.75,17.44,b,0
1160104,0,204.0,g,f,6,t,f,4.25,v,m,g,u,21.77,33.58,b,0
1160105,44,300.0,g,f,0,f,f,0.375,v,cc,g,u,12.43,33.67,a,0
1160106,44,927.0,g,f,0,f,f,0.375,v,k,g,u,0.375,33.67,a,0
1160107,44,300.0,g,f,0,f,f,0.375,v,cc,g,u,8.43,33.67,b,0
1160108,77720,100.0,g,t,0,f,t,0.085,ff,ff,g,u,2.5,23.08,b,1
1160109,4208,100.0,g,t,0,f,t,2.2,ff,ff,g,u,2.5,23.08,b,1
1160110,4208,58.0,g,t,0,f,t,0.085,ff,ff,g,u,2.5,23.08,b,1
1160111,43659,33.7,g,t,3,t,t,1.375,h,c,p,y,1.25,20.67,b,1
1160112,210,140.0,g,t,3,t,t,1.375,h,c,p,y,1.25,45.29,b,1
1160113,210,140.0,g,t,3,t,t,1.375,h,c,p,y,2.01,44.4,b,1
1160114,5800,400.0,g,t,0,f,f,0.04,v,m,g,u,2.04,37.42,b,0
1160115,5800,400.0,g,t,0,f,f,0.04,v,w,g,u,2.04,20.37,b,0
1160116,5800,895.8,g,t,0,f,f,0.04,v,w,g,u,2.04,37.42,b,0
1160117,17,0.0,g,t,0,t,t,1.25,h,k,p,y,12.5,26.17,b,1
1160118,5812,0.0,g,t,0,f,t,1.25,h,k,p,y,12.5,26.17,b,1
1160119,17,0.0,g,t,0,f,t,1.25,h,k,g,y,12.5,26.17,b,1
1160120,13212,0.0,g,f,0,f,f,0.0,z,e,p,y,15.0,22.15,a,0
1160121,13212,0.0,g,t,0,f,f,0.0,z,e,p,y,15.0,28.08,a,0
1160122,13212,645.9,g,f,0,f,f,0.0,z,e,p,y,15.0,28.08,a,0
1160123,70706,120.0,g,f,0,f,t,0.125,ff,ff,p,y,20.39,43.08,a,0
1160124,35411,120.0,g,f,0,f,t,0.125,ff,d,p,y,13.81,23.58,a,1
1160125,39865,120.0,g,f,0,f,t,0.125,v,ff,gg,y,0.585,23.58,a,1
1160126,500,260.0,g,f,41,t,f,0.25,v,cc,p,y,0.585,27.75,b,0
1160127,500,260.0,g,f,2,t,f,19.3,v,cc,p,y,0.585,27.75,b,0
1160128,97833,260.0,g,f,2,t,f,0.25,v,cc,p,y,0.585,27.75,b,0
1160129,456,0.0,g,f,11,t,f,2.0,v,c,g,y,1.0,36.0,a,0
1160130,456,0.0,g,f,11,t,f,2.0,v,i,g,u,1.0,36.0,a,0
1160131,456,0.0,g,f,11,t,f,2.0,v,c,g,u,1.0,46.62,a,0
1160132,690,352.0,s,t,5,t,f,1.75,v,c,g,u,0.75,16.08,b,0
1160133,690,352.0,g,t,5,t,f,1.75,v,q,g,u,0.75,16.08,b,0
1160134,690,352.0,g,t,5,t,f,1.75,v,i,g,u,0.75,16.08,b,0
1160135,600,40.0,g,t,6,t,f,1.625,v,w,g,u,9.5,18.83,a,0
1160136,600,40.0,g,t,6,t,f,11.9,v,w,g,u,9.5,18.83,a,0
1160137,600,40.0,g,t,6,t,f,1.625,v,w,g,u,17.48,18.83,a,0
1160138,284,733.0,g,t,11,t,f,2.125,h,w,g,u,11.5,23.08,b,0
1160139,284,290.0,g,t,14,t,f,2.125,h,w,g,u,11.5,23.08,b,0
1160140,284,290.0,g,t,11,t,f,2.125,h,w,g,u,11.5,63.94,b,0
1160141,300,160.0,g,t,0,f,t,0.835,v,r,p,y,1.75,23.33,b,0
1160142,300,160.0,g,t,0,f,t,0.835,v,e,p,y,11.625,18.43,b,0
1160143,300,97.5,g,t,0,f,f,0.835,v,w,p,y,11.625,23.33,b,0
1160144,50,80.0,g,t,54,t,f,0.335,h,cc,g,u,10.335,20.75,a,0
1160145,50,959.6,g,t,1,t,f,0.335,h,cc,g,u,10.335,20.75,a,0
1160146,50,80.0,g,t,1,t,f,0.335,h,cc,g,u,6.06,20.75,a,0
1160147,237,240.0,g,f,0,f,t,0.665,v,m,g,u,1.04,41.58,a,1
1160148,237,240.0,g,f,0,f,t,10.9,v,aa,g,u,1.04,41.58,a,1
1160149,22056,240.0,g,f,0,f,t,0.665,v,aa,g,u,1.04,41.58,a,1
1160150,15450,0.0,s,t,0,f,t,0.585,v,d,g,u,1.585,30.75,b,1
1160151,0,0.0,s,t,0,f,t,0.585,dd,d,g,u,1.585,30.75,b,1
1160152,0,0.0,s,t,0,f,t,0.585,v,d,g,u,1.585,14.77,b,1
1160153,0,0.0,g,f,0,f,f,2.585,h,c,p,y,2.54,73.7,b,0
1160154,0,0.0,g,f,0,f,f,2.585,h,c,g,y,2.54,22.67,b,0
1160155,0,1264.4,g,f,0,f,t,11.2,h,c,p,y,2.54,22.67,b,0
1160156,0,1170.2,g,t,0,f,t,2.5,h,m,g,u,4.0,32.08,b,0
1160157,0,360.0,g,t,0,f,t,8.4,v,aa,g,u,4.0,32.08,b,0
1160158,0,360.0,s,t,0,f,t,2.5,v,m,g,u,4.0,53.49,b,0
1160159,484,80.0,g,f,0,f,t,0.29,h,i,g,u,5.415,32.08,a,1
1160160,484,80.0,g,f,0,f,t,0.29,h,i,g,y,5.415,19.17,a,1
1160161,484,80.0,g,f,66,f,t,0.29,h,i,g,u,5.415,19.17,a,1
1160162,48107,240.0,g,t,0,f,t,1.0,v,aa,g,u,4.5,34.0,b,1
1160163,85209,240.0,g,t,0,f,t,1.0,n,aa,g,u,4.5,34.0,b,1
1160164,69642,240.0,g,t,0,f,t,1.0,v,aa,g,u,4.5,34.0,b,1
1160165,29709,80.0,g,f,7,t,f,1.46,h,w,g,u,6.5,19.42,b,0
1160166,88248,80.0,g,f,7,t,f,1.46,h,w,g,u,6.5,19.42,b,0
1160167,2954,1879.9,g,f,7,t,f,1.46,h,w,g,u,6.5,19.42,b,0
1160168,0,0.0,g,f,0,f,f,0.0,dd,e,g,u,9.96,27.08,b,0
1160169,0,0.0,g,f,0,f,f,0.0,dd,e,g,u,9.96,62.09,b,0
1160170,0,0.0,g,f,0,f,f,0.0,dd,e,g,u,9.96,67.14,b,0
1160171,2,0.0,g,f,23,f,t,0.5,v,cc,g,u,12.835,25.83,b,1
1160172,2,0.0,g,f,0,f,t,0.5,v,cc,g,u,12.835,62.94,b,1
1160173,2,0.0,p,f,0,f,t,0.5,v,cc,g,u,12.835,25.83,b,1
1160174,0,360.0,g,f,0,f,f,0.875,h,x,g,u,2.875,25.17,b,0
1160175,0,360.0,g,f,0,f,f,0.875,h,x,g,u,2.875,25.17,a,0
1160176,65839,360.0,g,f,0,f,f,0.875,h,x,g,u,2.875,25.17,a,0
1160177,2197,252.0,g,t,25,f,t,1.5,bb,i,g,u,0.335,57.08,a,1
1160178,2197,1097.4,g,t,0,f,t,1.0,bb,w,g,u,0.335,57.08,a,1
1160179,2197,252.0,g,t,0,f,t,1.0,bb,d,g,u,0.335,57.08,b,1
