,A15,A14,A13,A12,A11,A10,A9,A8,A7,A6,A5,A4,A3,A2,A1,A16
7960200,0,228.0,g,f,0,f,t,11.5,h,d,g,u,13.0,29.25,b,1
7960201,44701,0.0,g,f,0,f,t,0.04,v,m,p,y,0.04,31.83,b,1
7960202,0,560.0,s,f,1,t,f,0.04,v,e,g,u,13.72,41.0,b,0
7960203,82931,163.0,g,t,0,f,t,0.25,bb,w,g,u,1.75,34.25,b,1
7960204,0,204.0,g,f,6,t,f,4.25,v,m,g,u,20.86,33.58,b,0
7960205,44,300.0,s,f,0,f,f,6.2,v,cc,g,u,0.375,33.67,a,0
7960206,4208,100.0,g,t,0,f,t,0.085,ff,ff,g,u,19.88,23.08,b,1
7960207,210,140.0,p,t,3,t,t,1.375,h,c,p,y,1.25,36.93,b,0
7960208,5800,400.0,g,t,0,f,f,0.04,v,w,g,u,2.04,33.83,b,0
7960209,17,0.0,g,t,0,f,t,1.25,h,k,p,u,12.5,26.17,b,1
7960210,13212,0.0,g,f,0,f,f,0.0,z,e,p,y,15.0,30.53,a,0
7960211,79867,120.0,g,f,0,f,t,0.125,ff,ff,p,y,0.585,23.58,a,0
7960212,500,260.0,g,f,2,t,f,0.25,v,i,p,y,0.585,27.75,b,0
7960213,456,0.0,g,f,38,t,f,2.0,v,c,g,u,1.0,36.0,a,0
7960214,690,352.0,g,t,5,t,f,12.0,v,c,g,u,0.75,16.08,b,0
7960215,600,40.0,g,t,6,t,f,1.625,v,w,g,u,12.37,18.83,a,0
7960216,284,290.0,g,t,11,t,f,2.125,h,r,g,u,11.5,23.08,b,0
7960217,300,160.0,g,t,0,f,f,4.8,v,w,p,y,11.625,23.33,b,0
7960218,50,80.0,g,t,1,t,f,0.335,h,cc,g,u,8.29,20.75,a,0
7960219,237,240.0,g,f,0,f,t,0.665,v,ff,g,u,1.04,41.58,a,1
7960220,0,0.0,s,t,0,f,t,0.585,v,r,g,u,1.585,30.75,b,0
7960221,0,0.0,g,f,4,f,f,2.585,h,c,p,y,2.54,22.67,b,0
7960222,0,360.0,g,t,0,f,t,2.5,bb,r,g,u,4.0,32.08,b,0
7960223,484,80.0,g,f,0,f,t,0.29,h,k,g,u,5.415,19.17,a,1
7960224,64110,240.0,g,t,0,f,t,1.0,v,aa,p,u,4.5,34.0,b,1
7960225,2954,80.0,g,f,7,t,f,1.46,h,w,g,u,6.5,44.21,b,0
7960226,0,0.0,g,t,0,f,f,0.0,dd,e,g,u,9.96,20.25,b,0
7960227,2,0.0,g,f,0,f,t,0.5,v,cc,g,u,12.835,25.83,b,1
7960228,0,360.0,g,f,0,f,f,0.875,h,x,g,l,2.875,25.17,a,0
7960229,2197,252.0,g,t,0,f,t,3.8,o,i,g,u,0.335,57.08,a,1
7960230,0,399.0,g,t,14,t,f,10.0,h,cc,g,y,5.875,39.33,b,0
7960231,0,100.0,g,f,0,f,f,4.9,h,q,g,u,10.5,22.67,b,0
7960232,43981,120.0,g,f,10,t,f,3.17,v,q,g,u,5.875,23.25,a,0
7960233,17206,45.0,g,f,4,t,t,0.0,ff,ff,p,y,0.0,19.0,b,1
7960234,31701,145.0,g,f,0,f,t,0.0,ff,ff,g,u,0.585,50.75,b,0
7960235,34145,144.0,s,t,0,f,t,0.335,v,i,g,u,0.415,22.5,a,1
7960236,1,200.0,g,t,1,t,t,2.0,ff,ff,p,y,13.12,25.25,a,1
7960237,4016,368.0,s,f,0,f,t,2.0,v,m,g,u,1.5,27.67,a,1
7960238,0,80.0,g,f,0,f,t,11.2,ff,ff,g,u,10.29,18.58,b,1
7960239,45527,112.0,g,t,0,f,t,2.335,v,c,p,y,1.75,19.0,b,1
7960240,65164,0.0,g,t,0,f,t,2.5,v,c,p,y,2.5,33.25,a,1
7960241,68,100.0,g,t,0,f,t,6.6,v,i,g,u,23.39,21.5,b,1
7960242,0,523.0,g,t,15,f,t,7.5,v,w,g,u,2.5,31.83,b,1
7960243,0,917.9,s,f,0,f,t,13.8,v,c,g,u,1.0,23.25,b,0
7960244,0,200.0,g,t,0,f,t,1.8,v,w,g,u,9.39,36.33,b,1
7960245,150,100.0,g,f,1,t,f,2.25,v,c,gg,u,1.835,20.42,b,0
7960246,3065,0.0,g,f,7,t,f,5.0,v,c,g,l,5.0,40.58,b,0
7960247,32374,120.0,g,f,1,t,t,0.165,h,w,g,u,10.0,17.58,b,1
7960248,0,260.0,g,t,0,f,t,4.7,v,q,p,u,1.54,59.67,b,0
7960249,18,64.3,g,f,0,f,t,1.0,v,c,g,u,0.375,15.75,a,1
7960250,38951,450.0,p,t,0,f,f,0.0,o,ff,gg,u,22.0,17.5,b,0
7960251,33973,224.0,g,f,0,f,t,0.25,v,k,p,y,1.25,29.83,b,1
7960252,50055,396.0,g,t,3,t,f,0.96,v,m,g,u,0.875,28.25,b,0
7960253,15018,180.0,g,f,0,t,t,0.125,v,aa,p,y,0.625,23.0,b,1
7960254,7,1875.9,g,f,2,t,f,4.75,v,x,g,u,5.125,28.25,b,0
7960255,3,100.0,g,t,51,t,f,3.75,v,w,g,u,1.54,27.83,b,0
7960256,16,20.0,g,t,0,f,t,3.0,h,k,p,l,11.5,23.58,a,1
7960257,0,1775.2,g,t,0,f,t,1.0,n,k,g,u,6.0,38.25,a,0
7960258,0,0.0,g,t,0,f,f,0.665,h,c,g,u,0.25,21.83,b,0
7960259,69936,720.0,g,t,0,f,t,0.25,bb,aa,g,u,12.5,27.42,b,1
7960260,7,1398.6,g,t,8,t,f,1.5,bb,c,p,y,5.04,28.25,b,0
7960261,0,200.0,g,f,0,f,t,1.3,v,q,g,u,0.25,20.08,b,1
7960262,0,144.0,g,t,0,f,t,0.5,v,d,g,u,0.0,20.0,b,1
7960263,90082,200.0,g,f,3,t,f,1.625,v,c,g,u,7.0,20.42,b,0
7960264,500,515.0,g,t,1,t,f,7.9,h,x,g,u,25.125,35.17,b,0
7960265,5,80.0,g,t,1,t,t,1.75,v,c,g,u,0.54,17.92,a,1
7960266,1249,0.0,g,f,11,t,f,0.0,bb,j,g,u,10.0,51.33,b,0
