,A15,A14,A13,A12,A11,A10,A9,A8,A7,A6,A5,A4,A3,A2,A1,A16
440024,0,1050.3,g,f,0,f,t,0.5,h,d,g,u,13.0,29.25,b,0
440025,0,228.0,g,f,0,f,t,0.5,h,d,g,u,17.52,29.25,b,1
440026,0,0.0,g,t,0,f,t,0.04,v,m,p,y,0.04,31.83,b,1
440027,0,648.2,g,f,0,f,t,0.04,v,m,p,y,0.04,31.83,b,1
440028,0,560.0,s,f,1,f,f,0.04,v,e,g,u,0.04,66.77,b,0
440029,0,164.8,s,f,1,t,f,0.04,o,e,g,u,0.04,41.0,b,0
440030,5722,163.0,g,t,0,f,t,0.25,bb,w,g,u,1.75,34.25,b,1
440031,30531,163.0,g,t,0,f,t,0.25,bb,d,g,u,1.75,34.25,b,1
440032,0,684.3,g,f,6,t,f,4.25,v,m,g,u,2.75,33.58,b,0
440033,0,204.0,g,f,6,t,f,7.1,v,m,g,u,2.75,33.58,b,0
440034,44,300.0,g,f,0,t,f,0.375,v,cc,g,u,25.17,33.67,a,0
440035,89315,300.0,g,f,0,f,f,0.375,v,cc,g,y,0.375,33.67,a,0
440036,4208,100.0,g,t,0,f,t,0.085,ff,k,g,u,2.5,23.08,b,1
440037,4208,100.0,g,t,45,f,t,0.085,ff,ff,g,u,2.5,23.08,b,1
440038,47456,140.0,s,t,3,t,t,1.375,h,c,p,y,1.25,20.67,b,1
440039,210,140.0,g,t,33,t,t,1.375,h,c,p,y,1.25,20.67,b,1
440040,5800,400.0,g,t,0,f,f,0.04,v,x,g,u,2.04,37.42,b,0
440041,5800,400.0,g,t,0,f,f,18.9,v,w,g,u,2.04,37.42,b,0
440042,16526,0.0,g,t,0,f,t,1.25,h,k,p,y,12.5,26.17,b,1
440043,17806,0.0,g,t,0,f,t,1.25,h,k,p,y,12.5,26.17,b,1
440044,13212,939.3,g,f,0,f,f,0.0,z,e,p,y,15.0,28.08,a,0
440045,13212,0.0,g,f,0,f,f,0.0,z,e,p,y,17.3,28.08,a,0
440046,15412,120.0,g,f,0,f,t,0.125,ff,ff,p,y,0.585,23.58,a,1
440047,86172,120.0,g,f,0,f,t,0.125,ff,ff,p,y,0.585,23.58,a,1
