,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-loss,hours-per-week,income
119,46,Private,110978,13,Married-civ-spouse,Husband,White,Male,23,40,0
120,46,Private,265266,14,Married-civ-spouse,Husband,White,Male,1678,40,0
121,34,Private,209768,6,Married-civ-spouse,Husband,White,Male,0,60,0
122,34,Private,209768,13,Married-civ-spouse,Own-child,White,Male,0,55,0
123,53,State-gov,281590,9,Never-married,Wife,White,Female,702,40,0
124,55,State-gov,105253,9,Married-civ-spouse,Wife,White,Female,0,40,0
125,25,Private,207937,15,Divorced,Not-in-family,White,Male,0,50,0
126,30,Private,207937,11,Divorced,Other-relative,White,Male,0,50,0
127,25,Private,170562,10,Married-civ-spouse,Wife,Black,Female,0,40,0
128,25,Private,72887,10,Divorced,Wife,Black,Female,0,40,0
129,54,Private,162745,9,Never-married,Husband,White,Male,1316,55,0
130,54,Private,162745,11,Married-civ-spouse,Husband,White,Male,0,55,0
131,52,State-gov,199512,10,Married-civ-spouse,Husband,White,Male,0,40,0
132,47,State-gov,124520,9,Married-civ-spouse,Husband,White,Male,0,40,0
133,52,Local-gov,43235,9,Married-civ-spouse,Husband,White,Male,0,60,0
134,52,Private,170562,9,Married-civ-spouse,Husband,White,Male,1780,60,0
135,50,Private,281590,9,Married-civ-spouse,Husband,White,Male,0,44,0
136,50,Private,72887,9,Married-civ-spouse,Husband,White,Male,2122,44,0
137,34,Private,198693,14,Never-married,Not-in-family,White,Male,0,55,1
138,34,Private,198693,14,Never-married,Not-in-family,White,Male,0,60,1
139,31,Private,101352,15,Married-civ-spouse,Own-child,White,Female,0,40,0
140,31,Private,101352,13,Married-civ-spouse,Husband,White,Female,0,40,1
141,44,Private,72887,11,Married-civ-spouse,Husband,Black,Male,0,40,0
142,40,Private,72887,11,Married-civ-spouse,Other-relative,Asian-Pac-Islander,Male,0,17,0
143,30,State-gov,185590,13,Married-civ-spouse,Own-child,White,Female,2356,40,0
144,30,State-gov,185590,13,Married-civ-spouse,Husband,White,Female,0,40,1
145,44,Private,281590,10,Married-civ-spouse,Husband,White,Male,0,40,0
146,23,Local-gov,24982,10,Married-civ-spouse,Husband,Black,Male,0,40,0
147,53,State-gov,124520,14,Never-married,Husband,White,Male,0,40,0
148,41,Local-gov,124520,14,Married-civ-spouse,Unmarried,White,Male,0,40,0
149,50,Private,101352,13,Divorced,Unmarried,White,Female,0,40,0
150,50,Private,269095,13,Divorced,Unmarried,Asian-Pac-Islander,Female,1118,40,0
151,38,State-gov,116677,15,Married-civ-spouse,Husband,White,Male,0,40,1
152,31,State-gov,116677,14,Married-civ-spouse,Husband,White,Male,0,40,1
153,37,Private,71592,15,Married-civ-spouse,Other-relative,Other,Female,0,17,1
154,37,Private,71592,9,Married-civ-spouse,Other-relative,Asian-Pac-Islander,Female,1893,40,0
155,55,Self-emp-inc,227856,13,Married-civ-spouse,Husband,Black,Male,0,60,0
156,55,Local-gov,227856,13,Married-civ-spouse,Husband,White,Male,942,60,0
157,33,Self-emp-inc,110978,10,Married-civ-spouse,Other-relative,Other,Female,2293,40,0
158,33,Private,227856,15,Married-civ-spouse,Other-relative,Other,Female,0,40,1
159,57,Self-emp-inc,142076,9,Married-civ-spouse,Husband,White,Male,248,40,0
160,57,Private,142076,13,Married-civ-spouse,Husband,White,Male,0,30,0
161,33,Private,209768,9,Married-civ-spouse,Husband,White,Female,0,40,0
162,33,Private,232475,9,Married-civ-spouse,Not-in-family,White,Male,0,40,0
163,40,Private,160369,10,Married-civ-spouse,Husband,White,Male,1155,45,0
164,40,Private,160369,14,Married-civ-spouse,Husband,White,Female,1698,45,0
165,45,Private,36006,13,Married-civ-spouse,Husband,White,Male,0,60,0
166,34,Private,36006,6,Married-civ-spouse,Husband,White,Male,0,45,0
167,38,Local-gov,455379,14,Never-married,Husband,White,Male,0,60,0
168,38,Private,455379,9,Married-civ-spouse,Husband,White,Male,0,44,0
169,58,Private,101352,9,Divorced,Unmarried,White,Female,331,40,0
170,38,Self-emp-inc,372181,9,Divorced,Unmarried,White,Female,0,40,0
171,46,Private,105253,14,Never-married,Husband,White,Male,1977,17,0
172,46,Private,105253,6,Married-civ-spouse,Unmarried,White,Male,1977,50,0
173,60,Private,43235,6,Married-civ-spouse,Husband,White,Male,0,45,0
174,60,State-gov,43235,13,Married-civ-spouse,Not-in-family,White,Male,0,50,0
175,60,Self-emp-inc,105339,9,Married-civ-spouse,Husband,White,Male,0,40,0
176,60,Self-emp-inc,105339,13,Married-civ-spouse,Other-relative,White,Male,0,60,0
177,34,Private,268525,13,Never-married,Not-in-family,White,Male,905,50,1
178,47,Private,268525,13,Never-married,Not-in-family,White,Male,0,50,1
