,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,income
2499,2,33,all credits at this bank paid back duly,others,1995,... <  100 DM,1,0,female : single,none,3,building soc. savings agr./life insurance,27,none,rent,1,skilled employee/official,0 to 2,no,no,0
2500,2,12,critical account/other credits elsewhere,others,1995,unknown/no savings account,1,0,male : divorced/separated,none,3,building soc. savings agr./life insurance,27,none,rent,1,skilled employee/official,0 to 2,no,no,0
2501,2,12,critical account/other credits elsewhere,others,1995,... <  100 DM,1,0,male : married/widowed,none,3,car or other,27,none,rent,>= 6,skilled employee/official,0 to 2,no,no,0
2502,2,12,delay in paying off in the past,others,1995,... <  100 DM,1,0,male : married/widowed,none,3,car or other,27,none,for free,1,skilled employee/official,0 to 2,no,no,0
2503,2,12,critical account/other credits elsewhere,others,1995,... <  100 DM,1,0,male : married/widowed,none,3,building soc. savings agr./life insurance,27,none,for free,1,skilled employee/official,0 to 2,no,no,0
2504,1,36,no credits taken/all credits paid back duly,business,2186,... >= 1000 DM,3,3,female : non-single or male : single,none,0,unknown / no property,27,bank,for free,3-Feb,unskilled - resident,0 to 2,no,no,0
2505,2,36,no credits taken/all credits paid back duly,car (used),2186,unknown/no savings account,3,3,female : non-single or male : single,none,0,unknown / no property,33,bank,for free,1,unskilled - resident,3 or more,no,no,0
2506,1,36,no credits taken/all credits paid back duly,business,2186,... >= 1000 DM,3,0,female : non-single or male : single,none,0,unknown / no property,27,bank,for free,3-Feb,unskilled - resident,0 to 2,no,no,0
2507,3,47,no credits taken/all credits paid back duly,car (used),900,... >= 1000 DM,0,3,female : single,none,0,unknown / no property,33,bank,for free,1,unskilled - resident,0 to 2,no,no,0
2508,3,15,no credits taken/all credits paid back duly,car (used),2578,... <  100 DM,0,3,female : non-single or male : single,none,0,unknown / no property,27,bank,for free,5-Apr,skilled employee/official,0 to 2,no,no,0
2509,3,42,all credits at this bank paid back duly,repairs,1927,unknown/no savings account,2,1,female : non-single or male : single,none,2,building soc. savings agr./life insurance,33,none,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
2510,2,24,critical account/other credits elsewhere,repairs,1927,... >= 1000 DM,2,1,female : non-single or male : single,none,2,real estate,33,none,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
2511,3,42,all credits at this bank paid back duly,repairs,1927,unknown/no savings account,2,1,female : non-single or male : single,none,2,building soc. savings agr./life insurance,33,none,rent,3-Feb,unemployed/unskilled - non-resident,0 to 2,yes (under customer name),no,0
2512,2,24,critical account/other credits elsewhere,repairs,1927,... >= 1000 DM,2,1,female : non-single or male : single,none,2,real estate,33,stores,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
2513,3,42,all credits at this bank paid back duly,repairs,12169,... >= 1000 DM,2,1,female : non-single or male : single,none,2,unknown / no property,33,none,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
2514,1,48,no credits taken/all credits paid back duly,car (used),2136,unknown/no savings account,2,1,male : married/widowed,none,2,unknown / no property,25,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,0
