,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,income
32246,37,technician,married,tertiary,no,122,no,no,cellular,25,apr,266,2,318,19,other,0
32247,37,technician,married,tertiary,no,72600,no,no,telephone,25,jun,266,2,318,3,other,0
32248,34,management,single,tertiary,no,250,no,no,cellular,26,aug,1224,2,-1,0,unknown,1
32249,34,management,single,tertiary,no,250,no,no,cellular,26,aug,1030,2,-1,0,unknown,1
32250,41,management,married,secondary,no,0,no,no,cellular,21,sep,624,1,655,0,unknown,1
32251,41,management,married,secondary,no,0,no,no,cellular,21,nov,624,1,444,13,unknown,1
32252,34,technician,married,secondary,no,268,no,no,cellular,11,aug,900,4,-1,0,unknown,1
32253,34,technician,married,secondary,no,268,no,no,cellular,11,oct,1029,4,-1,0,unknown,1
32254,43,admin.,single,secondary,no,35,no,no,telephone,9,nov,208,1,-1,1,success,1
32255,43,entrepreneur,single,secondary,no,35,no,no,telephone,9,oct,208,1,-1,0,unknown,1
32256,49,retired,divorced,secondary,no,10613,no,yes,cellular,4,feb,119,1,-1,0,unknown,0
32257,49,blue-collar,married,secondary,no,10613,no,yes,cellular,4,feb,577,1,-1,0,unknown,0
32258,46,technician,divorced,secondary,yes,-11,no,no,cellular,11,aug,1669,2,-1,0,unknown,1
32259,46,technician,divorced,secondary,yes,-11,no,no,cellular,11,aug,3322,2,-1,0,unknown,1
32260,33,management,married,tertiary,yes,1412,no,no,cellular,6,feb,1166,2,-1,0,unknown,1
32261,33,management,married,tertiary,no,29023,no,no,cellular,6,mar,433,2,-1,0,unknown,1
32262,45,unknown,divorced,tertiary,no,-90,yes,no,cellular,29,jan,2462,1,192,1,failure,0
32263,45,management,divorced,tertiary,no,-90,yes,no,cellular,29,jun,882,1,192,1,failure,0
32264,36,entrepreneur,single,unknown,no,298,yes,no,unknown,8,sep,1022,1,-1,0,unknown,1
32265,36,entrepreneur,divorced,unknown,no,298,yes,no,unknown,8,may,967,9,-1,0,unknown,1
32266,48,management,married,unknown,no,7861,no,no,cellular,20,apr,380,1,-1,0,unknown,1
32267,48,management,married,unknown,no,7861,no,yes,cellular,20,nov,1973,1,-1,0,unknown,0
32268,26,management,single,tertiary,no,690,no,no,cellular,5,feb,1152,3,-1,0,unknown,1
32269,26,management,single,tertiary,no,690,no,no,cellular,5,feb,1554,3,-1,0,unknown,1
32270,38,admin.,single,secondary,no,245,yes,yes,cellular,17,apr,747,2,345,2,success,1
32271,38,admin.,single,secondary,no,245,yes,yes,cellular,17,apr,919,2,345,2,success,1
32272,30,management,married,tertiary,no,451,no,no,cellular,5,jun,1560,1,274,3,failure,1
32273,69,management,married,tertiary,no,451,no,no,cellular,5,may,1663,1,274,3,failure,0
32274,39,services,married,secondary,no,257,no,no,unknown,12,jun,1628,1,-1,0,unknown,1
32275,39,services,divorced,secondary,no,257,yes,no,unknown,12,jun,3183,1,-1,0,unknown,1
32276,38,blue-collar,married,secondary,no,4771,yes,no,unknown,17,apr,1366,1,-1,0,unknown,1
32277,62,blue-collar,married,secondary,no,4771,yes,no,cellular,17,apr,1326,1,-1,0,unknown,1
32278,54,retired,divorced,tertiary,yes,726,no,no,cellular,28,jan,1021,1,-1,0,unknown,1
32279,66,retired,divorced,tertiary,no,726,no,no,cellular,28,apr,246,1,-1,0,unknown,1
32280,38,student,married,tertiary,no,413,no,no,cellular,13,apr,240,1,292,2,failure,0
32281,38,management,married,tertiary,no,413,no,no,cellular,13,apr,240,1,204,10,failure,0
32282,36,entrepreneur,divorced,tertiary,no,125,yes,no,unknown,6,may,1171,3,-1,0,unknown,1
32283,36,entrepreneur,divorced,tertiary,no,125,yes,no,unknown,6,may,1364,3,-1,0,unknown,1
32284,40,self-employed,married,tertiary,no,50064,no,no,cellular,15,oct,858,1,136,8,other,1
32285,40,self-employed,married,tertiary,no,13669,no,no,cellular,15,oct,1666,1,279,8,other,1
32286,35,technician,married,secondary,no,8,yes,yes,cellular,20,apr,1560,6,-1,0,unknown,1
32287,35,technician,married,secondary,no,8,yes,yes,cellular,20,apr,1692,6,425,0,unknown,1
32288,57,housemaid,married,tertiary,no,3760,no,no,cellular,17,nov,1070,1,-1,7,success,1
32289,57,housemaid,single,tertiary,no,3760,no,no,cellular,12,nov,1070,1,-1,0,unknown,1
32290,31,services,married,secondary,no,-331,yes,no,unknown,23,may,1560,23,-1,0,unknown,1
32291,31,services,married,secondary,no,-331,yes,no,unknown,23,may,1207,5,-1,29,unknown,1
32292,60,retired,married,primary,no,458,yes,no,unknown,16,may,947,1,-1,0,unknown,0
32293,60,retired,married,primary,no,458,yes,no,unknown,16,may,910,1,-1,0,unknown,1
32294,48,entrepreneur,married,tertiary,no,0,yes,no,cellular,17,apr,1192,2,-1,0,unknown,1
32295,48,entrepreneur,married,tertiary,no,0,yes,no,cellular,17,apr,1600,2,-1,0,unknown,1
32296,23,student,single,tertiary,no,82,no,no,cellular,3,may,1040,4,-1,0,unknown,1
32297,23,student,single,tertiary,no,82,no,no,cellular,4,may,1875,4,472,0,unknown,1
32298,36,management,single,unknown,no,0,no,no,unknown,5,jun,1022,1,-1,0,unknown,1
32299,36,management,single,unknown,no,0,no,no,unknown,5,jun,827,1,-1,0,unknown,0
32300,37,management,married,tertiary,no,3236,no,no,telephone,20,may,259,2,202,5,other,0
32301,37,management,married,tertiary,no,3236,no,no,cellular,20,may,291,2,202,5,failure,0
32302,33,blue-collar,single,primary,no,-104,yes,no,cellular,15,may,1058,10,331,16,unknown,1
32303,33,blue-collar,single,primary,no,-104,yes,no,cellular,15,may,894,10,331,28,other,1
32304,53,technician,married,secondary,no,1247,yes,no,unknown,23,oct,154,3,-1,0,unknown,1
32305,32,technician,married,secondary,no,1247,yes,no,unknown,23,jan,1130,3,-1,0,unknown,1
32306,41,technician,married,secondary,no,2152,no,no,cellular,30,apr,1171,1,121,1,other,1
32307,41,technician,divorced,secondary,no,2152,no,no,cellular,30,sep,566,1,121,1,other,1
32308,44,blue-collar,divorced,secondary,no,4236,yes,no,cellular,4,may,1602,3,-1,0,unknown,1
32309,72,blue-collar,married,secondary,no,78844,yes,no,cellular,4,may,378,3,-1,0,unknown,1
32310,40,blue-collar,single,secondary,no,3571,yes,no,cellular,10,jul,953,1,-1,0,success,1
32311,80,blue-collar,single,secondary,no,3571,yes,no,cellular,10,jul,876,1,-1,0,unknown,1
32312,52,blue-collar,married,secondary,no,3165,no,no,unknown,6,may,1311,1,-1,0,unknown,1
32313,52,blue-collar,married,secondary,no,3165,no,no,unknown,4,may,2485,1,-1,0,unknown,1
32314,27,technician,single,tertiary,no,1526,yes,no,unknown,15,jun,1531,10,-1,0,unknown,1
32315,27,technician,single,tertiary,no,1526,yes,no,unknown,6,jun,1191,10,-1,0,unknown,1
32316,34,blue-collar,married,secondary,no,322,yes,no,cellular,20,apr,1042,3,-1,30,unknown,0
32317,34,blue-collar,married,secondary,no,322,yes,no,cellular,20,apr,1193,3,115,0,unknown,1
32318,44,admin.,married,secondary,no,26,yes,no,cellular,21,jul,1088,10,-1,6,unknown,1
32319,44,admin.,married,secondary,no,26,yes,yes,cellular,21,jul,1185,10,-1,0,unknown,1
32320,39,technician,single,secondary,no,822,yes,yes,cellular,29,may,895,3,-1,0,unknown,1
32321,39,technician,single,secondary,no,822,yes,no,unknown,29,may,1186,3,-1,0,unknown,1
32322,25,unemployed,single,tertiary,no,7744,no,no,cellular,26,aug,377,8,-1,0,unknown,0
32323,31,admin.,married,tertiary,no,7744,no,no,cellular,26,aug,917,8,-1,0,unknown,1
32324,55,services,married,secondary,no,96,no,no,telephone,30,jul,1432,2,-1,0,unknown,1
32325,50,services,married,secondary,no,96,no,no,telephone,30,jul,1452,2,-1,0,unknown,1
32326,44,technician,married,secondary,no,0,no,no,unknown,2,jun,1556,1,-1,0,unknown,1
32327,44,technician,married,secondary,no,0,no,no,unknown,2,jun,1476,1,-1,0,unknown,1
32328,51,management,single,tertiary,no,1146,yes,no,unknown,19,may,2053,4,-1,0,unknown,1
