,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-loss,hours-per-week,income
119,46,Private,265266,13,Never-married,Husband,White,Male,1685,40,0
120,46,Private,265266,13,Married-civ-spouse,Not-in-family,White,Male,1102,40,0
121,34,Private,209768,13,Divorced,Husband,Other,Male,0,60,0
122,31,State-gov,209768,13,Married-civ-spouse,Husband,White,Male,0,60,0
123,53,State-gov,281590,9,Married-civ-spouse,Other-relative,White,Female,0,44,0
124,53,State-gov,281590,9,Never-married,Wife,White,Male,0,40,0
125,30,Local-gov,207937,15,Divorced,Not-in-family,White,Male,0,50,0
126,30,Private,207937,15,Never-married,Own-child,White,Male,0,50,0
127,25,Private,299908,10,Married-civ-spouse,Wife,Asian-Pac-Islander,Male,0,40,0
128,25,Private,101352,10,Married-civ-spouse,Wife,Black,Female,0,40,0
129,54,Local-gov,162745,9,Married-civ-spouse,Husband,White,Male,575,55,0
130,54,Private,162745,9,Married-civ-spouse,Own-child,White,Male,293,55,0
131,60,State-gov,199512,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,40,0
132,44,State-gov,199512,13,Married-civ-spouse,Husband,White,Male,0,30,0
133,58,Private,170562,9,Married-civ-spouse,Husband,White,Male,0,60,0
134,33,Private,124520,9,Married-civ-spouse,Husband,White,Male,0,60,0
135,50,Private,146325,9,Never-married,Husband,White,Male,0,30,0
136,31,Private,146325,9,Married-civ-spouse,Husband,White,Male,413,44,0
137,34,Private,198693,15,Never-married,Not-in-family,White,Male,2394,30,0
138,34,Private,198693,15,Married-civ-spouse,Not-in-family,White,Male,0,30,1
139,31,Private,101352,13,Married-civ-spouse,Other-relative,White,Female,0,40,1
140,31,Private,101352,13,Never-married,Husband,White,Female,2399,40,1
141,40,Private,146325,6,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,40,0
142,40,Private,72887,11,Married-civ-spouse,Wife,Asian-Pac-Islander,Male,176,40,0
143,30,State-gov,185590,13,Married-civ-spouse,Other-relative,White,Female,0,40,1
144,30,State-gov,185590,13,Married-civ-spouse,Husband,White,Female,0,40,1
145,44,Local-gov,24982,10,Divorced,Husband,White,Male,0,55,0
146,44,Local-gov,24982,10,Married-civ-spouse,Husband,White,Male,1593,60,0
147,41,State-gov,124520,11,Married-civ-spouse,Husband,White,Male,1058,40,0
148,41,Self-emp-inc,160369,14,Married-civ-spouse,Husband,White,Male,0,40,0
149,50,Self-emp-inc,269095,13,Divorced,Unmarried,White,Female,0,45,0
150,50,Self-emp-inc,269095,13,Divorced,Not-in-family,White,Female,0,40,0
151,31,State-gov,142076,11,Married-civ-spouse,Husband,White,Male,0,40,1
152,50,State-gov,116677,9,Married-civ-spouse,Husband,Black,Male,0,40,1
153,37,Private,198693,13,Married-civ-spouse,Other-relative,Asian-Pac-Islander,Female,0,17,1
154,37,Private,71592,15,Married-civ-spouse,Other-relative,Asian-Pac-Islander,Female,1921,17,1
155,55,Private,227856,10,Married-civ-spouse,Husband,White,Male,0,50,0
156,55,Private,227856,9,Married-civ-spouse,Not-in-family,White,Male,0,60,0
157,33,Private,110978,15,Married-civ-spouse,Other-relative,Other,Female,0,40,1
158,33,Private,110978,14,Married-civ-spouse,Other-relative,Other,Female,0,40,1
159,57,Private,170562,9,Married-civ-spouse,Husband,White,Male,1747,40,0
160,57,Private,142076,10,Married-civ-spouse,Other-relative,White,Male,0,40,0
161,33,Local-gov,232475,9,Married-civ-spouse,Husband,White,Male,121,40,0
162,33,State-gov,232475,9,Married-civ-spouse,Husband,White,Male,1160,40,0
163,40,Private,160369,6,Married-civ-spouse,Husband,White,Male,2415,40,0
164,44,Private,160369,6,Married-civ-spouse,Husband,White,Male,2415,45,0
165,45,Private,36006,13,Married-civ-spouse,Husband,White,Male,270,50,0
166,45,Private,36006,13,Married-civ-spouse,Husband,White,Male,308,17,0
167,23,Private,455379,14,Married-civ-spouse,Husband,White,Female,0,60,0
168,38,State-gov,455379,14,Married-civ-spouse,Husband,Black,Male,0,60,0
169,58,Private,372181,11,Married-civ-spouse,Unmarried,White,Female,0,40,0
170,41,Private,372181,9,Divorced,Other-relative,White,Female,0,40,0
171,46,Private,105253,14,Married-civ-spouse,Husband,White,Male,1701,45,0
172,46,Private,105253,14,Married-civ-spouse,Husband,Other,Male,1702,50,0
173,60,Private,43235,13,Divorced,Other-relative,White,Male,0,50,0
174,41,Private,43235,13,Married-civ-spouse,Unmarried,White,Male,0,50,0
175,38,Self-emp-inc,105339,13,Married-civ-spouse,Husband,White,Male,0,40,0
176,60,Self-emp-inc,105339,11,Married-civ-spouse,Other-relative,White,Male,0,60,0
177,53,Private,268525,13,Never-married,Not-in-family,White,Male,1354,50,1
178,52,Private,198693,13,Never-married,Not-in-family,White,Male,0,50,1
