,A15,A14,A13,A12,A11,A10,A9,A8,A7,A6,A5,A4,A3,A2,A1,A16
360040,0,228.0,g,t,0,f,t,0.5,h,d,g,u,13.0,29.25,b,1
360041,0,228.0,g,f,51,f,t,0.5,h,d,g,u,13.0,29.25,b,1
360042,0,228.0,g,f,0,f,t,0.5,h,d,g,u,3.57,29.25,b,0
360043,0,228.0,g,f,0,t,t,0.5,h,d,g,u,13.0,29.25,b,1
360044,40696,0.0,g,f,0,f,t,0.04,v,m,p,y,0.04,31.83,b,1
360045,0,0.0,g,f,62,f,t,0.04,v,m,p,y,0.04,31.83,b,1
360046,4480,0.0,g,f,0,f,t,0.04,v,m,p,y,0.04,31.83,b,1
360047,0,0.0,g,f,27,f,t,0.04,v,m,p,y,0.04,31.83,b,1
360048,0,560.0,s,f,1,f,f,0.04,v,e,g,y,0.04,41.0,b,0
360049,0,560.0,s,f,1,t,f,0.04,v,e,g,u,5.76,41.0,b,0
360050,8661,445.3,s,f,1,t,f,0.04,v,e,g,u,0.04,41.0,b,0
360051,0,723.5,s,f,1,t,f,0.04,v,aa,g,u,0.04,41.0,b,0
360052,96719,54.3,g,t,0,f,t,0.25,bb,w,g,u,1.75,34.25,b,1
360053,89953,163.0,g,t,0,f,t,0.25,bb,w,g,u,16.95,34.25,b,1
360054,84464,163.0,g,t,55,f,t,0.25,bb,w,g,u,1.75,34.25,b,1
360055,0,163.0,g,t,58,f,t,9.8,bb,w,g,u,1.75,34.25,b,1
360056,0,204.0,g,f,6,t,f,4.25,v,m,g,u,2.75,68.4,b,0
360057,0,204.0,g,f,6,t,f,12.7,v,m,g,u,2.75,33.58,b,0
360058,0,204.0,g,f,6,t,f,4.25,v,m,g,u,2.75,48.22,b,0
360059,0,204.0,s,f,6,t,f,4.25,v,m,g,u,2.75,33.58,b,0
360060,44,300.0,g,f,31,f,f,0.375,v,cc,g,u,23.85,33.67,a,0
360061,44,300.0,g,t,0,f,f,0.375,v,cc,g,u,20.82,33.67,a,0
360062,44,300.0,g,f,0,f,f,2.7,v,cc,g,u,0.375,33.67,a,0
360063,26030,300.0,g,f,0,f,f,0.375,v,e,g,u,0.375,33.67,a,0
360064,4208,100.0,g,t,19,f,t,0.085,ff,ff,g,u,2.5,23.08,b,1
360065,4208,100.0,g,t,0,f,t,0.085,ff,ff,g,u,2.5,69.59,b,1
360066,4208,100.0,g,t,0,f,t,0.085,j,ff,g,u,2.5,23.08,b,1
360067,4208,100.0,g,t,0,f,t,8.1,ff,ff,g,u,2.5,23.08,b,1
360068,29673,140.0,g,t,3,t,t,1.375,h,c,p,y,1.25,20.67,b,1
360069,210,140.0,g,t,3,t,t,1.375,h,c,p,y,1.25,37.45,b,1
360070,210,140.0,g,t,3,t,t,1.375,h,c,p,y,1.25,47.3,b,1
360071,73861,140.0,g,t,3,t,t,1.375,h,c,p,y,1.25,20.67,b,1
360072,5800,400.0,g,t,0,f,f,0.04,bb,w,g,u,2.04,37.42,b,0
360073,5800,1623.6,g,t,0,f,f,0.04,v,w,g,u,2.04,37.42,b,0
360074,5800,400.0,g,t,0,f,f,0.04,v,w,g,u,2.04,29.92,b,0
360075,5800,400.0,g,t,0,f,f,0.04,v,cc,g,u,2.04,37.42,b,0
360076,25718,0.0,g,t,0,f,t,1.25,h,k,p,y,12.5,26.17,b,1
360077,17,0.0,g,t,64,f,t,1.25,h,k,p,y,12.5,26.17,b,1
360078,17,0.0,g,t,6,f,t,1.25,h,k,p,y,12.5,26.17,b,1
360079,17,0.0,g,t,58,f,t,1.25,h,k,p,y,12.5,26.17,b,1
