,A15,A14,A13,A12,A11,A10,A9,A8,A7,A6,A5,A4,A3,A2,A1,A16
1560040,2464,228.0,g,f,0,f,t,0.5,h,d,g,u,13.0,29.25,b,1
1560041,67352,0.0,g,f,0,f,t,0.04,v,m,p,y,0.04,31.83,b,1
1560042,16137,445.9,s,f,1,t,f,0.04,v,e,g,u,0.04,41.0,b,0
1560043,4835,163.0,g,t,0,f,t,0.25,bb,w,g,u,0.69,34.25,b,1
1560044,692,204.0,g,f,6,t,f,4.25,v,m,g,u,2.75,33.58,b,0
1560045,44,300.0,g,f,0,f,f,0.375,o,e,g,u,0.375,33.67,a,0
1560046,4208,1042.6,g,t,0,f,t,0.085,ff,ff,g,u,2.5,23.08,b,1
1560047,210,140.0,g,t,3,t,t,7.2,h,cc,p,y,1.25,20.67,b,1
1560048,5800,1462.7,g,t,0,f,f,0.04,v,w,g,u,2.04,37.42,b,0
1560049,17,0.0,g,t,0,f,t,1.25,h,k,p,l,12.5,26.17,b,1
1560050,13212,0.0,g,f,0,f,f,0.0,h,e,p,y,15.0,28.08,a,0
1560051,43315,120.0,g,f,5,f,t,0.125,ff,ff,p,y,0.585,23.58,a,1
1560052,500,260.0,g,f,2,t,f,14.7,v,cc,p,y,0.585,27.75,b,0
1560053,456,0.0,g,f,11,t,f,6.4,v,c,g,u,1.0,36.0,a,0
1560054,690,352.0,g,t,31,t,f,1.75,v,c,g,u,0.75,16.08,b,0
1560055,600,40.0,g,t,6,t,f,1.625,v,w,g,u,9.5,64.58,a,0
1560056,284,290.0,g,t,11,t,f,2.125,h,w,g,u,11.5,56.74,b,0
1560057,300,160.0,g,t,0,f,f,0.835,v,w,p,y,11.625,30.98,b,0
1560058,50,80.0,g,t,1,t,f,0.335,h,cc,g,u,10.335,20.75,a,0
1560059,237,240.0,g,f,0,f,t,0.665,j,aa,g,u,1.04,41.58,a,1
1560060,0,0.0,s,t,0,f,t,0.585,v,d,g,u,22.06,30.75,b,1
1560061,0,0.0,g,f,0,f,f,2.585,h,c,p,y,2.54,22.67,a,0
1560062,0,360.0,g,t,0,f,t,2.5,bb,m,g,l,4.0,32.08,b,0
1560063,484,80.0,g,f,0,f,t,0.29,h,i,g,u,5.415,67.33,a,1
1560064,72943,240.0,g,f,0,f,t,1.0,v,aa,g,u,4.5,34.0,b,1
1560065,2954,872.0,g,f,7,t,f,1.46,h,w,g,u,6.5,19.42,b,0
1560066,0,0.0,g,f,0,f,f,0.0,dd,e,g,u,24.01,20.25,b,0
1560067,2,0.0,g,f,0,f,t,0.5,v,cc,g,u,12.835,48.36,b,1
1560068,0,360.0,g,f,0,f,f,13.5,h,x,g,u,2.875,25.17,a,0
1560069,2197,252.0,g,t,0,t,t,1.0,dd,i,g,u,0.335,57.08,a,1
1560070,0,399.0,g,t,14,t,f,10.0,dd,cc,g,u,5.875,39.33,b,0
1560071,0,57.8,g,f,0,f,f,1.335,h,q,g,u,10.5,22.67,b,0
1560072,43717,120.0,g,f,10,t,f,3.17,v,q,g,u,5.875,23.25,a,0
1560073,1,45.0,g,f,4,t,t,0.0,dd,ff,p,y,0.0,19.0,b,1
1560074,49427,145.0,g,f,0,f,t,0.0,ff,ff,g,u,0.585,50.75,b,1
1560075,0,144.0,s,t,0,f,t,5.4,v,i,g,u,0.415,22.5,b,0
1560076,1,200.0,g,t,1,t,t,2.0,dd,ff,p,y,13.5,25.25,a,1
1560077,0,368.0,s,f,0,f,t,2.0,v,m,g,u,22.86,27.67,a,1
1560078,0,80.0,g,f,0,f,t,3.7,ff,ff,g,u,10.29,18.58,b,1
1560079,99188,112.0,g,t,0,f,t,2.335,v,c,p,y,1.75,19.0,b,1
