,A15,A14,A13,A12,A11,A10,A9,A8,A7,A6,A5,A4,A3,A2,A1,A16
3960300,86676,228.0,g,f,0,f,t,0.5,h,d,g,u,13.0,29.25,b,1
3960301,0,228.0,g,f,0,f,t,0.5,h,d,g,u,13.0,58.43,b,1
3960302,0,228.0,g,f,25,f,t,0.5,h,d,g,u,13.0,29.25,b,1
3960303,75183,0.0,g,f,0,f,t,0.04,v,m,p,y,0.04,31.83,b,1
3960304,0,0.0,g,f,34,f,t,0.04,v,m,p,y,0.04,31.83,b,1
3960305,0,0.0,g,f,26,f,t,0.04,v,m,p,y,0.04,31.83,b,1
3960306,0,560.0,s,f,1,t,f,0.04,v,e,g,u,12.79,41.0,b,0
3960307,21732,560.0,s,f,5,t,f,0.04,v,e,g,u,0.04,41.0,b,0
3960308,0,560.0,s,f,1,t,f,0.04,v,e,g,u,0.04,14.65,b,0
3960309,77976,163.0,g,f,0,f,t,0.25,bb,w,g,u,1.75,34.25,b,1
3960310,0,438.3,g,t,0,f,t,0.25,v,w,g,u,1.75,34.25,b,1
3960311,81106,163.0,g,t,0,f,t,0.25,bb,w,g,u,1.75,34.25,b,1
3960312,0,204.0,g,t,6,t,f,4.25,v,m,g,u,2.75,33.58,b,0
3960313,0,204.0,g,f,35,t,f,4.25,v,m,g,u,2.75,33.58,b,0
3960314,0,204.0,g,f,1,t,f,4.25,v,m,g,u,2.75,33.58,b,0
3960315,44,300.0,g,f,0,f,f,0.375,v,cc,p,u,0.375,33.67,a,0
3960316,44,646.0,g,f,0,f,f,0.375,v,cc,p,u,0.375,33.67,a,0
3960317,44,356.6,g,f,0,f,f,7.1,v,cc,g,u,0.375,33.67,a,0
3960318,4208,100.0,g,t,0,f,t,14.1,ff,ff,g,u,2.5,23.08,b,1
3960319,4208,840.1,g,t,0,f,t,0.085,ff,ff,g,u,2.5,23.08,b,1
3960320,4208,100.0,g,t,0,f,t,0.085,ff,ff,gg,u,2.5,23.08,b,1
3960321,210,140.0,g,t,3,t,t,1.375,h,c,p,y,13.33,20.67,b,1
3960322,210,140.0,g,t,3,t,t,11.6,h,c,p,l,1.25,20.67,b,1
3960323,210,140.0,g,t,3,t,t,1.375,h,i,p,y,8.58,20.67,b,1
3960324,5800,400.0,g,t,0,f,f,0.04,v,w,g,u,2.04,37.42,a,0
3960325,5800,400.0,g,t,0,f,f,0.04,v,w,g,u,22.66,37.42,b,0
3960326,5800,400.0,g,t,0,f,f,0.04,v,w,g,u,2.04,60.31,b,0
3960327,17,0.0,g,t,0,f,t,1.25,h,k,p,l,12.5,26.17,b,1
3960328,17,0.0,g,t,0,f,t,1.25,h,r,p,y,12.5,26.17,b,1
3960329,17,0.0,g,t,62,f,t,1.25,h,k,p,y,12.5,26.17,b,1
