,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,income
32446,37,retired,married,unknown,no,122,no,no,cellular,25,jun,266,2,318,3,other,0
32447,37,technician,married,tertiary,no,122,no,no,cellular,2,jun,266,2,318,3,other,0
32448,37,technician,married,tertiary,no,122,no,no,cellular,25,jun,266,17,318,3,unknown,0
32449,34,management,single,tertiary,no,250,no,yes,cellular,26,aug,1707,2,-1,0,unknown,1
32450,34,management,single,tertiary,no,250,no,no,cellular,26,aug,957,2,-1,0,unknown,1
32451,34,management,divorced,tertiary,no,250,no,no,cellular,26,mar,64,2,-1,0,unknown,1
32452,41,management,married,secondary,no,0,no,no,cellular,21,may,1777,1,-1,0,unknown,1
32453,41,management,married,secondary,yes,0,no,no,cellular,21,jun,624,1,-1,0,unknown,0
32454,41,management,married,secondary,no,0,no,no,cellular,21,nov,624,1,561,22,unknown,1
32455,34,technician,married,secondary,no,268,no,no,cellular,11,aug,970,4,-1,0,unknown,1
32456,34,technician,married,secondary,no,268,no,no,cellular,11,aug,1124,4,-1,0,unknown,1
32457,34,technician,married,secondary,no,268,no,no,cellular,11,aug,758,4,-1,10,unknown,1
32458,43,admin.,single,secondary,no,35,no,no,telephone,9,mar,208,1,-1,0,success,1
32459,80,admin.,single,secondary,no,35,no,no,telephone,9,nov,208,1,-1,0,success,0
32460,43,admin.,single,secondary,no,3434,no,no,telephone,9,oct,208,1,-1,0,unknown,1
32461,49,blue-collar,divorced,secondary,no,10613,no,yes,cellular,4,feb,265,1,-1,0,unknown,0
32462,49,blue-collar,divorced,secondary,no,10613,no,no,cellular,4,feb,337,1,-1,0,unknown,0
32463,49,blue-collar,married,secondary,no,10613,no,yes,cellular,4,feb,1226,32,-1,0,unknown,0
32464,46,technician,divorced,secondary,yes,-11,no,no,cellular,11,aug,651,2,-1,0,unknown,1
32465,46,technician,divorced,unknown,yes,-11,no,no,cellular,11,aug,833,2,-1,0,unknown,1
32466,46,technician,divorced,secondary,yes,-11,no,no,cellular,11,aug,1681,2,-1,0,unknown,1
32467,33,management,married,tertiary,no,1412,no,no,cellular,6,nov,433,2,-1,0,success,1
32468,75,management,married,tertiary,no,1412,no,no,cellular,6,may,433,2,-1,0,unknown,0
32469,33,management,married,tertiary,no,78676,no,no,cellular,6,dec,433,2,-1,0,unknown,1
32470,45,management,divorced,tertiary,no,-90,yes,no,cellular,29,jul,1021,1,192,1,failure,0
32471,45,management,divorced,tertiary,no,-90,yes,no,cellular,29,dec,1344,1,192,1,failure,1
32472,45,management,divorced,tertiary,no,-90,yes,no,cellular,29,jan,362,1,761,1,failure,1
32473,36,entrepreneur,divorced,unknown,no,298,yes,no,unknown,8,may,922,1,579,0,unknown,1
32474,36,entrepreneur,married,unknown,no,4460,yes,no,unknown,8,mar,1343,1,-1,0,unknown,1
32475,36,entrepreneur,married,unknown,yes,298,yes,no,cellular,8,may,1449,1,-1,0,unknown,1
32476,48,management,married,unknown,no,7861,no,no,cellular,29,oct,380,1,-1,0,unknown,1
32477,48,management,married,unknown,no,7861,no,no,cellular,20,dec,380,1,838,0,unknown,1
32478,48,management,married,unknown,no,7861,no,no,cellular,1,nov,380,1,-1,0,success,1
32479,26,management,single,tertiary,no,690,no,no,cellular,5,feb,1491,3,-1,0,unknown,1
32480,26,blue-collar,single,tertiary,no,690,no,no,cellular,5,feb,1353,3,-1,0,unknown,1
32481,26,management,single,tertiary,no,690,no,no,cellular,5,feb,1529,3,-1,28,unknown,1
32482,38,admin.,divorced,secondary,no,245,yes,yes,cellular,17,apr,476,2,345,2,success,1
32483,38,admin.,single,secondary,no,245,yes,yes,cellular,17,apr,1032,2,345,2,success,1
32484,38,admin.,single,secondary,no,245,yes,yes,cellular,17,apr,1409,2,345,2,other,0
32485,30,unemployed,married,tertiary,no,451,no,no,cellular,5,may,743,1,274,3,failure,1
32486,30,management,married,tertiary,no,451,no,no,cellular,29,may,1044,1,274,3,failure,1
32487,30,management,married,tertiary,no,23531,no,no,cellular,5,may,685,1,274,3,failure,0
32488,39,services,married,secondary,no,257,yes,no,cellular,12,jun,650,1,-1,0,unknown,1
32489,86,services,married,secondary,no,257,yes,no,unknown,12,jun,1584,1,-1,0,unknown,1
32490,39,services,married,secondary,no,257,yes,no,cellular,12,jun,1687,1,-1,0,unknown,1
32491,38,blue-collar,married,secondary,no,4771,yes,no,telephone,17,apr,1669,1,-1,0,unknown,1
32492,38,blue-collar,married,secondary,no,4771,yes,no,cellular,17,apr,1472,1,-1,0,unknown,1
32493,38,blue-collar,single,secondary,no,4771,yes,no,cellular,17,apr,1031,1,-1,0,unknown,1
32494,54,retired,divorced,tertiary,no,726,no,no,cellular,28,jan,916,1,461,0,unknown,1
32495,54,retired,divorced,tertiary,no,726,no,no,cellular,28,jan,1196,1,-1,0,unknown,1
32496,54,retired,divorced,tertiary,no,726,no,no,cellular,28,jan,1222,1,-1,0,unknown,1
32497,38,management,married,tertiary,no,413,no,no,cellular,29,apr,240,1,179,2,failure,0
32498,38,management,divorced,secondary,no,413,no,no,cellular,13,apr,240,1,179,2,failure,0
32499,38,management,married,tertiary,yes,29865,no,no,cellular,13,apr,240,1,179,2,failure,0
32500,36,entrepreneur,married,tertiary,no,125,yes,no,cellular,6,may,1190,3,369,0,unknown,1
32501,36,entrepreneur,married,tertiary,no,125,yes,no,cellular,6,may,773,3,-1,0,failure,1
32502,36,entrepreneur,married,tertiary,no,125,yes,no,cellular,6,may,1536,3,-1,0,unknown,1
32503,40,self-employed,married,tertiary,no,37124,no,no,cellular,15,oct,1789,1,136,8,other,0
32504,40,self-employed,married,tertiary,no,13669,no,no,cellular,15,oct,795,1,136,8,other,1
32505,40,self-employed,married,tertiary,no,74295,no,no,cellular,15,oct,908,1,136,8,other,1
32506,35,technician,married,secondary,no,8,yes,yes,cellular,20,jul,969,6,-1,0,unknown,1
32507,35,technician,married,primary,no,8,yes,yes,cellular,20,apr,1460,6,-1,0,unknown,1
32508,35,technician,married,secondary,no,8,yes,yes,cellular,20,apr,1467,6,-1,0,unknown,1
32509,57,housemaid,married,tertiary,no,3760,no,no,cellular,17,may,1070,1,-1,0,success,1
32510,57,technician,divorced,tertiary,no,3760,no,no,cellular,17,nov,1070,1,-1,0,unknown,1
32511,57,housemaid,married,tertiary,no,3760,no,no,cellular,17,nov,1070,1,-1,27,success,1
32512,31,services,married,secondary,no,-331,yes,no,unknown,23,may,1336,7,-1,0,unknown,1
32513,31,services,married,secondary,no,-331,yes,no,unknown,23,mar,1416,5,-1,0,unknown,1
32514,31,services,married,secondary,no,-331,yes,no,unknown,23,may,1269,5,-1,0,unknown,1
32515,60,retired,married,primary,no,458,yes,no,unknown,16,may,921,1,-1,0,unknown,1
32516,60,retired,married,primary,no,458,yes,no,unknown,16,may,1113,1,-1,0,unknown,1
32517,60,retired,married,primary,no,458,yes,no,unknown,16,may,1462,1,594,0,unknown,1
32518,48,entrepreneur,married,tertiary,no,0,yes,no,cellular,17,dec,949,2,-1,0,unknown,1
32519,48,entrepreneur,married,tertiary,no,0,yes,no,cellular,17,apr,1178,2,-1,0,unknown,1
32520,48,blue-collar,married,tertiary,no,0,yes,no,cellular,17,apr,1017,2,-1,0,unknown,1
32521,23,student,single,tertiary,no,82,no,no,cellular,4,may,1003,4,202,0,unknown,1
32522,23,student,single,tertiary,no,21932,no,no,cellular,4,may,681,4,-1,0,unknown,1
32523,23,student,single,tertiary,no,82,no,no,cellular,4,may,1275,4,-1,0,unknown,1
32524,36,management,married,unknown,no,0,no,no,unknown,5,apr,1434,1,-1,0,unknown,1
32525,36,management,married,unknown,no,0,no,no,unknown,5,jun,1209,1,270,0,unknown,0
32526,36,management,single,unknown,no,0,no,no,unknown,5,jun,946,1,-1,0,unknown,1
32527,37,management,divorced,secondary,no,3236,no,no,cellular,20,may,291,2,202,5,other,0
32528,37,management,married,tertiary,no,3236,no,no,cellular,20,may,136,2,202,5,other,0
32529,37,blue-collar,married,tertiary,no,3236,no,no,cellular,4,may,291,2,202,5,other,0
32530,33,blue-collar,single,primary,no,-104,yes,no,cellular,15,may,751,10,331,16,other,1
32531,33,blue-collar,single,primary,no,-104,yes,no,cellular,15,may,1090,10,331,16,success,1
32532,33,blue-collar,single,primary,no,-104,yes,no,cellular,31,may,1434,10,331,16,other,1
32533,32,technician,married,secondary,no,1247,yes,no,unknown,23,may,1006,3,-1,0,unknown,1
32534,32,technician,married,secondary,no,1247,yes,no,unknown,23,may,1492,3,-1,16,unknown,1
32535,42,technician,married,secondary,no,1247,yes,no,unknown,23,may,924,3,-1,0,unknown,1
32536,41,technician,married,secondary,no,2152,no,no,cellular,30,sep,395,1,121,1,other,1
32537,41,technician,married,secondary,no,2152,no,no,cellular,30,sep,1721,1,348,1,other,1
32538,41,services,married,secondary,no,2152,no,no,cellular,30,sep,395,1,121,1,other,1
32539,44,blue-collar,married,secondary,no,4236,yes,no,cellular,19,may,918,3,-1,0,unknown,1
32540,44,blue-collar,married,secondary,no,4236,yes,no,cellular,4,may,1135,3,-1,0,unknown,1
32541,44,blue-collar,married,secondary,no,4236,yes,no,cellular,4,may,1112,6,-1,0,unknown,1
32542,40,blue-collar,single,secondary,no,3571,no,no,cellular,10,jul,687,1,-1,0,unknown,1
32543,40,blue-collar,divorced,secondary,no,3571,yes,no,cellular,10,jul,1025,1,-1,0,unknown,1
32544,40,blue-collar,single,secondary,no,3571,yes,no,cellular,10,jul,2256,1,-1,0,unknown,1
32545,52,blue-collar,married,secondary,no,3165,no,no,unknown,6,may,1663,1,530,0,unknown,1
32546,52,blue-collar,married,secondary,no,3165,no,no,unknown,4,may,1973,1,-1,0,unknown,1
32547,52,blue-collar,married,secondary,no,3165,no,no,cellular,6,may,918,1,-1,0,unknown,1
32548,27,technician,single,tertiary,no,1526,yes,no,unknown,6,jun,1663,10,-1,0,unknown,1
32549,80,technician,single,tertiary,no,1526,yes,no,unknown,6,jun,1508,10,-1,0,unknown,0
32550,27,technician,single,tertiary,no,1526,yes,no,unknown,6,jun,1290,10,-1,0,unknown,1
32551,34,blue-collar,married,unknown,no,322,yes,no,cellular,20,apr,1867,3,-1,0,unknown,1
32552,34,blue-collar,married,secondary,no,322,yes,no,cellular,20,apr,1166,3,-1,0,unknown,1
32553,82,blue-collar,married,secondary,no,322,yes,no,cellular,20,apr,1548,3,-1,0,unknown,1
32554,58,admin.,married,secondary,no,26,yes,no,cellular,21,jul,1238,10,-1,0,unknown,1
32555,44,retired,married,secondary,no,26,yes,no,cellular,21,jul,1559,10,-1,0,unknown,1
32556,44,admin.,married,secondary,no,26,yes,no,cellular,21,jul,1917,10,-1,0,unknown,1
32557,39,technician,single,secondary,yes,822,yes,yes,unknown,29,apr,1569,3,-1,0,unknown,1
32558,39,technician,single,secondary,no,822,yes,no,unknown,29,may,1092,3,-1,0,unknown,1
32559,39,technician,single,secondary,no,822,yes,no,unknown,29,may,1727,3,-1,17,unknown,1
32560,31,unemployed,married,tertiary,no,7744,no,no,cellular,26,dec,474,8,-1,0,unknown,1
32561,31,unemployed,married,tertiary,no,7744,no,no,cellular,26,dec,377,8,-1,0,unknown,1
32562,31,unemployed,married,tertiary,no,7744,no,no,telephone,26,aug,1720,8,-1,0,unknown,1
32563,55,services,married,secondary,no,96,no,yes,telephone,30,jul,1702,2,-1,0,unknown,1
32564,55,services,married,secondary,no,96,no,no,telephone,30,jul,1291,2,-1,0,unknown,1
32565,55,services,married,secondary,no,96,no,no,telephone,30,mar,340,2,-1,0,success,1
32566,44,technician,married,secondary,no,0,no,no,telephone,2,jun,1175,1,-1,0,unknown,1
32567,44,technician,married,secondary,no,0,no,no,cellular,2,jun,833,1,-1,0,unknown,1
32568,44,technician,married,secondary,no,0,no,no,unknown,2,jun,1409,1,-1,0,unknown,1
32569,51,management,single,tertiary,no,1146,yes,yes,cellular,19,may,1488,4,-1,0,unknown,1
32570,51,management,single,tertiary,no,1146,yes,yes,unknown,19,may,1723,4,251,0,unknown,1
32571,51,management,divorced,tertiary,no,1146,yes,yes,unknown,19,oct,458,4,-1,0,unknown,1
32572,41,blue-collar,married,secondary,no,50214,yes,no,cellular,8,apr,1284,4,-1,0,unknown,1
32573,41,blue-collar,divorced,secondary,no,1521,yes,no,cellular,8,apr,1162,4,-1,0,unknown,1
32574,59,blue-collar,married,secondary,no,1521,yes,no,cellular,8,apr,869,4,-1,0,unknown,1
32575,38,management,single,tertiary,no,0,no,no,cellular,24,jul,1110,1,206,0,unknown,1
32576,38,retired,single,tertiary,no,0,no,no,cellular,24,jul,1137,1,-1,0,unknown,1
32577,38,management,single,tertiary,no,0,no,no,cellular,24,jul,1697,1,-1,0,unknown,1
32578,33,management,divorced,tertiary,no,5145,yes,no,cellular,14,may,338,1,557,2,other,1
32579,40,management,single,tertiary,no,5145,yes,no,cellular,14,may,1377,1,175,2,other,1
32580,33,management,single,tertiary,no,5145,yes,no,cellular,14,may,338,1,804,2,other,1
32581,32,blue-collar,divorced,primary,no,4805,no,yes,cellular,12,jul,755,3,-1,0,unknown,1
32582,32,blue-collar,divorced,primary,no,4805,no,yes,cellular,4,jul,1183,3,-1,0,unknown,1
32583,32,blue-collar,divorced,primary,no,4805,no,yes,cellular,4,jul,902,3,-1,0,unknown,1
32584,39,blue-collar,married,primary,no,1014,no,no,cellular,30,jul,261,4,268,0,success,1
32585,39,unemployed,married,primary,no,1014,no,no,cellular,30,jul,1321,4,-1,0,unknown,1
32586,89,blue-collar,married,primary,no,1014,no,no,cellular,30,apr,261,4,-1,0,unknown,1
32587,45,technician,married,secondary,no,1818,no,no,cellular,2,feb,197,1,342,2,success,1
32588,45,technician,married,secondary,no,1818,no,no,cellular,2,feb,905,1,428,2,other,1
32589,30,technician,married,secondary,no,1818,no,no,cellular,2,feb,197,1,241,2,success,1
32590,36,unemployed,married,primary,no,771,yes,no,cellular,8,may,1257,1,-1,0,unknown,1
32591,36,unemployed,married,primary,no,59748,yes,no,cellular,8,may,962,1,-1,0,unknown,1
32592,36,unemployed,married,primary,no,45983,yes,no,cellular,8,may,832,1,-1,0,unknown,1
32593,37,blue-collar,married,secondary,no,74910,yes,no,unknown,20,may,1138,2,-1,0,unknown,0
32594,37,blue-collar,married,secondary,no,32,yes,no,unknown,12,may,1334,2,-1,0,unknown,1
32595,37,blue-collar,married,secondary,no,32,yes,no,unknown,8,may,1232,2,-1,0,unknown,1
32596,56,unemployed,married,secondary,no,12,no,no,cellular,12,jun,93,3,187,1,failure,0
32597,56,unemployed,married,secondary,no,12,no,no,cellular,12,dec,511,3,187,14,failure,0
32598,56,unemployed,married,secondary,no,12,no,yes,cellular,12,may,511,3,187,1,failure,0
32599,58,management,divorced,secondary,no,3161,yes,no,telephone,30,jul,364,2,-1,0,unknown,0
32600,66,management,divorced,secondary,no,-6996,no,no,telephone,30,jul,542,2,-1,0,unknown,0
32601,58,management,single,secondary,yes,3161,no,no,telephone,30,jul,542,2,-1,0,unknown,0
32602,36,unemployed,divorced,secondary,no,8267,no,no,unknown,18,jun,1735,2,-1,0,unknown,1
32603,36,student,divorced,secondary,no,8267,no,no,unknown,18,jun,1448,2,-1,0,unknown,1
32604,36,unemployed,divorced,primary,no,8267,no,no,unknown,18,jun,1184,2,-1,0,unknown,0
32605,79,management,single,tertiary,no,638,yes,no,cellular,20,apr,483,2,670,6,other,1
32606,30,management,single,tertiary,yes,638,yes,no,cellular,20,apr,1006,2,291,6,other,1
32607,30,management,single,tertiary,no,638,no,no,cellular,20,aug,483,2,291,6,other,0
32608,34,management,married,tertiary,no,527,yes,no,cellular,4,nov,661,1,-1,0,unknown,0
32609,34,management,married,tertiary,no,527,no,no,cellular,21,jun,272,1,-1,0,unknown,1
32610,34,management,married,tertiary,no,527,no,no,cellular,4,nov,1259,1,-1,0,failure,1
32611,56,unemployed,married,primary,no,802,no,no,telephone,3,feb,1776,2,-1,0,unknown,1
32612,56,unemployed,married,primary,no,802,no,no,telephone,3,feb,1472,2,-1,0,unknown,0
32613,64,unemployed,divorced,primary,no,802,no,no,telephone,3,feb,258,2,-1,0,success,1
32614,34,management,married,tertiary,no,3301,yes,no,cellular,17,aug,485,2,227,4,failure,0
32615,28,management,married,tertiary,no,3301,yes,no,cellular,17,sep,485,2,227,4,failure,0
32616,34,management,married,tertiary,no,3301,yes,yes,cellular,17,sep,485,2,227,4,failure,0
32617,28,management,single,tertiary,no,111,yes,yes,cellular,28,jul,1073,2,-1,0,unknown,1
32618,28,management,married,tertiary,no,111,yes,yes,cellular,28,jul,1096,2,-1,0,unknown,1
32619,28,management,single,tertiary,yes,111,yes,yes,cellular,28,jul,1220,2,-1,0,unknown,1
32620,36,management,married,tertiary,no,532,yes,no,cellular,14,may,1540,1,-1,0,unknown,1
32621,36,management,married,tertiary,no,532,no,no,cellular,14,may,946,1,-1,0,unknown,1
32622,36,management,married,tertiary,no,532,yes,no,cellular,14,may,603,1,535,5,unknown,1
32623,46,admin.,divorced,secondary,no,99,no,no,cellular,14,jul,779,1,-1,0,unknown,1
32624,46,admin.,divorced,secondary,no,99,no,no,unknown,14,jul,1740,1,-1,0,success,1
32625,46,admin.,divorced,secondary,no,99,no,no,unknown,14,jul,1326,1,-1,0,unknown,0
32626,71,retired,married,tertiary,no,22713,no,no,cellular,24,aug,1723,3,200,2,failure,1
32627,71,retired,married,tertiary,no,2651,no,no,cellular,24,aug,1164,3,200,2,failure,0
32628,73,retired,married,tertiary,no,2651,no,no,cellular,24,aug,2129,3,200,2,failure,1
32629,29,admin.,single,tertiary,no,8,no,no,cellular,28,jan,795,1,-1,0,unknown,1
32630,29,admin.,single,tertiary,no,8,no,no,cellular,28,jan,795,1,-1,16,unknown,1
32631,46,admin.,single,tertiary,no,8,no,no,cellular,28,jan,1217,1,-1,0,unknown,1
32632,51,unknown,married,tertiary,no,167,no,no,unknown,18,jun,1623,4,-1,0,unknown,1
32633,51,unknown,married,unknown,yes,167,no,no,unknown,18,jun,1536,4,-1,0,unknown,0
32634,51,unknown,married,unknown,yes,167,no,no,unknown,18,jun,949,4,-1,0,unknown,0
32635,40,admin.,married,secondary,no,3234,no,no,telephone,6,jun,832,1,-1,0,unknown,1
32636,40,admin.,married,secondary,no,3234,no,no,unknown,6,jun,1600,1,-1,0,unknown,1
32637,40,admin.,married,secondary,no,3234,no,no,unknown,6,jun,1871,1,-1,0,unknown,1
32638,28,blue-collar,married,secondary,no,2322,no,no,cellular,8,jul,1555,4,-1,0,unknown,1
32639,28,blue-collar,married,secondary,yes,2322,no,no,cellular,8,jul,1220,4,-1,0,unknown,0
32640,28,blue-collar,married,secondary,no,10226,no,no,cellular,8,jul,1391,4,-1,0,unknown,1
32641,63,technician,married,secondary,no,973,no,no,cellular,22,feb,318,1,388,1,failure,0
32642,63,technician,divorced,secondary,no,973,no,no,cellular,25,feb,318,1,388,1,failure,0
32643,63,technician,married,secondary,no,973,no,no,cellular,25,feb,318,2,388,1,failure,0
32644,47,blue-collar,married,secondary,no,1348,no,yes,cellular,4,aug,777,1,-1,0,success,1
32645,47,blue-collar,married,secondary,no,1348,no,yes,cellular,4,aug,1046,1,-1,0,unknown,1
32646,47,blue-collar,married,secondary,no,1348,no,yes,cellular,4,aug,255,1,-1,21,success,1
32647,46,management,married,tertiary,no,385,yes,no,cellular,29,may,1006,4,-1,0,unknown,1
32648,46,management,single,tertiary,no,385,yes,no,unknown,29,may,925,4,-1,0,unknown,1
32649,46,management,married,tertiary,no,385,no,no,unknown,29,may,980,4,-1,0,unknown,0
32650,32,services,married,secondary,no,1066,yes,no,unknown,19,may,1869,9,-1,0,success,1
32651,32,services,married,secondary,no,22694,yes,no,unknown,19,may,3422,9,-1,0,unknown,1
32652,32,services,married,secondary,no,1066,yes,no,unknown,19,may,1812,9,-1,0,unknown,1
32653,57,management,married,primary,no,3498,no,no,cellular,15,nov,210,2,456,2,success,1
32654,57,management,married,primary,no,3498,no,no,cellular,15,jul,210,2,456,2,other,1
32655,57,blue-collar,married,primary,no,3498,no,no,telephone,15,jul,210,2,30,2,success,1
32656,47,blue-collar,divorced,secondary,no,1815,yes,no,cellular,5,feb,868,1,253,4,failure,1
32657,47,blue-collar,divorced,secondary,no,1815,yes,no,cellular,5,feb,1017,1,253,26,failure,1
32658,47,blue-collar,divorced,secondary,no,1815,yes,no,cellular,5,feb,748,1,253,4,failure,1
32659,29,admin.,single,secondary,no,768,yes,no,cellular,24,jul,3881,5,-1,0,unknown,1
32660,29,admin.,single,secondary,no,768,yes,no,cellular,24,jul,1083,5,-1,0,unknown,1
32661,29,admin.,single,secondary,no,768,yes,no,cellular,24,jul,1017,5,-1,0,unknown,1
32662,30,management,single,tertiary,no,2419,no,yes,cellular,5,jun,1386,2,-1,0,unknown,1
32663,30,blue-collar,single,tertiary,no,2419,no,yes,cellular,5,jun,1302,2,-1,0,unknown,1
32664,30,management,single,tertiary,no,2419,no,yes,cellular,5,jun,1006,2,-1,0,unknown,1
32665,51,housemaid,married,primary,no,-553,yes,no,unknown,4,jun,1875,8,-1,0,unknown,0
32666,51,services,married,primary,no,-553,yes,no,unknown,4,jun,1391,8,-1,0,unknown,1
32667,51,services,married,primary,no,-553,yes,no,unknown,4,jun,1377,8,-1,0,unknown,1
32668,54,unemployed,married,primary,no,6427,yes,no,telephone,19,nov,1042,1,-1,0,unknown,1
32669,54,unemployed,married,primary,no,6427,yes,no,telephone,19,nov,1046,1,228,0,unknown,1
32670,54,unemployed,single,primary,no,6427,yes,no,telephone,19,nov,2016,1,-1,0,unknown,0
32671,30,blue-collar,married,secondary,no,3653,yes,yes,cellular,6,jun,662,4,-1,0,unknown,1
32672,30,blue-collar,married,secondary,no,3653,yes,yes,unknown,6,jun,1053,4,-1,0,unknown,1
32673,30,blue-collar,married,secondary,no,3653,yes,yes,unknown,6,jun,1925,4,-1,0,unknown,1
32674,45,technician,married,tertiary,no,548,no,no,cellular,11,aug,1057,4,-1,0,unknown,1
32675,45,technician,married,tertiary,no,548,no,no,cellular,11,aug,807,4,-1,0,unknown,1
32676,45,technician,married,tertiary,no,548,no,no,cellular,11,aug,1184,4,-1,0,unknown,1
32677,30,services,single,tertiary,no,13,no,no,cellular,15,jul,1319,3,-1,0,unknown,1
32678,30,management,single,tertiary,no,13,no,no,cellular,15,jul,1925,3,-1,0,unknown,1
32679,30,management,single,tertiary,no,13,no,no,cellular,15,jul,985,3,-1,0,unknown,1
32680,46,management,divorced,tertiary,no,665,yes,no,cellular,2,feb,1259,2,207,5,other,1
32681,46,management,divorced,tertiary,no,665,yes,no,cellular,2,feb,1244,2,207,1,other,1
32682,46,management,divorced,tertiary,no,665,yes,no,cellular,2,feb,1212,2,207,1,other,1
32683,45,unemployed,married,primary,no,321,yes,no,cellular,15,jul,918,4,-1,0,unknown,1
32684,87,management,married,primary,no,321,yes,no,unknown,30,jul,918,4,-1,0,unknown,0
32685,45,blue-collar,married,primary,yes,321,yes,no,cellular,30,jul,918,4,-1,0,unknown,1
32686,28,admin.,single,unknown,no,29710,no,no,cellular,8,jul,340,1,-1,0,unknown,0
32687,28,admin.,single,unknown,no,50140,no,no,cellular,8,jul,705,19,-1,0,unknown,0
32688,28,admin.,single,tertiary,no,2736,no,no,cellular,8,jul,393,1,-1,0,unknown,0
32689,24,student,single,secondary,no,372,yes,no,cellular,11,apr,1241,1,-1,0,unknown,1
32690,24,student,single,secondary,no,372,yes,no,cellular,17,apr,1337,1,-1,0,unknown,1
32691,24,student,single,secondary,no,372,yes,no,cellular,17,apr,1403,1,-1,0,unknown,1
32692,57,admin.,divorced,secondary,no,169,no,no,cellular,3,feb,369,35,-1,0,unknown,0
32693,57,admin.,divorced,secondary,no,169,no,no,cellular,3,feb,468,1,-1,0,unknown,0
32694,57,admin.,married,secondary,no,169,no,no,cellular,3,feb,460,1,296,0,unknown,0
32695,28,management,single,tertiary,no,355,yes,no,unknown,28,may,793,4,-1,0,unknown,1
32696,28,management,single,tertiary,no,355,yes,yes,cellular,28,may,1091,4,-1,0,unknown,1
32697,28,management,single,tertiary,no,355,yes,no,unknown,28,may,854,4,-1,0,unknown,1
32698,35,services,married,secondary,no,501,yes,yes,cellular,10,jul,1464,8,-1,0,unknown,1
32699,35,services,married,secondary,no,34103,yes,yes,cellular,10,jul,1681,8,-1,0,unknown,1
32700,34,services,married,secondary,no,501,yes,yes,cellular,10,jul,855,8,-1,0,unknown,1
32701,56,admin.,divorced,primary,no,0,no,yes,cellular,10,jul,845,1,-1,0,success,0
32702,56,admin.,divorced,primary,no,0,no,yes,cellular,10,jul,542,1,-1,16,success,1
32703,56,admin.,divorced,primary,no,0,no,no,cellular,3,jul,542,1,-1,0,unknown,1
32704,40,housemaid,divorced,primary,no,322,no,no,unknown,24,jun,1597,2,-1,0,unknown,0
32705,40,housemaid,married,primary,no,322,no,no,unknown,17,mar,764,2,-1,0,success,0
32706,40,housemaid,married,primary,no,322,no,yes,unknown,17,jun,1040,2,97,0,unknown,1
32707,45,blue-collar,married,primary,no,2958,yes,no,cellular,16,apr,580,1,831,2,failure,1
32708,53,blue-collar,married,primary,no,2958,yes,no,cellular,16,apr,580,1,521,2,failure,1
