,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,income
33446,37,technician,married,tertiary,no,122,no,yes,cellular,8,jun,266,2,318,3,other,0
33447,70,technician,married,tertiary,no,122,no,no,cellular,25,jun,266,2,318,3,other,0
33448,37,technician,married,primary,no,122,no,no,cellular,11,jun,266,2,318,3,other,0
33449,52,technician,married,tertiary,no,90583,no,no,cellular,25,jun,266,2,318,3,other,0
33450,37,technician,married,tertiary,yes,122,no,no,cellular,1,jun,266,2,318,3,other,0
33451,34,management,single,tertiary,no,250,no,no,cellular,26,aug,841,2,-1,0,success,1
33452,34,management,single,tertiary,no,250,no,no,cellular,26,aug,856,2,-1,0,unknown,1
33453,34,management,single,tertiary,no,250,no,no,cellular,26,aug,1066,2,-1,0,unknown,1
33454,34,management,single,tertiary,no,250,no,no,cellular,26,aug,928,2,-1,0,unknown,1
33455,34,management,married,tertiary,no,250,no,no,cellular,26,aug,840,2,-1,0,unknown,1
33456,41,management,married,secondary,no,0,no,no,cellular,21,nov,1171,11,-1,0,unknown,1
33457,41,management,married,secondary,no,0,no,no,cellular,21,nov,1666,1,-1,0,other,1
33458,41,management,married,secondary,no,0,no,no,cellular,21,nov,1906,1,-1,0,unknown,1
33459,41,management,married,secondary,no,0,no,no,cellular,21,nov,1906,1,270,0,unknown,1
33460,41,management,married,secondary,no,0,no,no,cellular,21,nov,1152,1,-1,11,unknown,1
33461,53,technician,married,secondary,no,268,no,no,cellular,11,aug,711,4,-1,0,unknown,1
33462,34,technician,married,secondary,no,268,no,no,cellular,11,aug,789,4,-1,0,unknown,1
33463,34,self-employed,married,secondary,no,268,no,no,cellular,11,aug,1287,4,-1,0,unknown,1
33464,34,technician,married,secondary,no,268,no,yes,cellular,11,aug,1499,4,-1,0,unknown,1
33465,34,technician,married,secondary,no,268,no,no,cellular,9,aug,983,4,-1,0,unknown,1
33466,43,admin.,single,secondary,no,6026,no,no,telephone,9,oct,208,1,-1,0,unknown,1
33467,43,admin.,single,secondary,no,35,no,no,unknown,9,apr,208,1,-1,0,unknown,1
33468,43,admin.,single,secondary,no,45377,no,no,telephone,9,mar,208,1,-1,0,unknown,1
33469,43,admin.,single,secondary,no,35,no,no,telephone,9,dec,1357,1,-1,0,unknown,1
33470,43,admin.,single,secondary,no,35,no,no,telephone,9,mar,907,1,-1,0,unknown,1
33471,49,blue-collar,divorced,secondary,no,10613,no,yes,cellular,4,feb,77,1,-1,0,unknown,0
33472,49,blue-collar,divorced,secondary,no,10613,no,yes,cellular,4,feb,223,1,-1,0,unknown,0
33473,49,blue-collar,divorced,secondary,no,10613,no,yes,cellular,4,feb,586,12,-1,0,unknown,0
33474,49,blue-collar,divorced,secondary,no,10613,no,yes,cellular,4,feb,612,1,-1,0,unknown,0
33475,49,blue-collar,divorced,secondary,no,10613,no,yes,cellular,4,feb,142,1,-1,0,unknown,0
33476,46,technician,divorced,secondary,yes,-11,no,no,cellular,11,aug,828,4,-1,0,unknown,1
33477,46,technician,divorced,secondary,yes,-11,no,no,cellular,11,aug,1092,2,357,0,unknown,1
33478,46,technician,divorced,secondary,yes,-11,no,no,cellular,11,aug,1205,2,-1,7,unknown,1
33479,46,technician,divorced,tertiary,yes,-11,no,no,cellular,11,aug,1061,2,-1,0,unknown,1
33480,46,technician,divorced,secondary,yes,-11,no,no,cellular,11,aug,1347,2,-1,0,unknown,1
33481,33,management,married,tertiary,no,1412,no,no,cellular,6,feb,1084,2,-1,0,unknown,1
33482,33,management,married,tertiary,no,1412,no,no,cellular,6,feb,1261,2,-1,0,unknown,1
33483,33,management,married,tertiary,no,1412,no,no,cellular,6,feb,959,2,-1,0,unknown,1
33484,33,management,married,tertiary,no,1412,no,no,cellular,6,feb,896,2,-1,0,unknown,1
33485,65,management,divorced,tertiary,no,1412,no,no,cellular,6,feb,433,2,-1,0,unknown,1
33486,45,management,divorced,tertiary,no,-90,yes,no,cellular,29,oct,1006,1,192,1,failure,1
33487,45,management,divorced,tertiary,no,-90,yes,no,cellular,29,jan,1206,1,192,1,success,1
