,A15,A14,A13,A12,A11,A10,A9,A8,A7,A6,A5,A4,A3,A2,A1,A16
15960400,0,228.0,g,f,0,f,t,4.5,h,d,g,u,13.0,29.25,b,1
15960401,0,0.0,g,f,0,f,t,0.04,v,m,gg,y,0.04,31.83,b,1
15960402,0,418.4,s,f,1,f,f,0.04,v,e,g,u,0.04,41.0,b,0
15960403,37590,163.0,g,t,0,f,t,0.25,bb,w,g,l,1.75,34.25,b,1
15960404,0,1214.9,g,f,6,t,f,4.25,v,m,g,u,2.75,33.58,b,0
15960405,90232,300.0,g,f,0,t,f,0.375,v,cc,g,u,0.375,33.67,a,0
15960406,4208,100.0,g,t,0,f,t,10.5,ff,ff,g,u,2.5,23.08,b,1
15960407,210,140.0,g,t,3,t,t,2.7,bb,c,p,y,1.25,20.67,b,1
15960408,5800,400.0,s,t,0,f,f,0.04,v,w,g,u,2.04,37.42,b,0
15960409,17,0.0,g,t,28,f,t,1.25,h,k,p,y,12.5,26.17,b,1
15960410,13212,0.0,g,f,0,f,f,0.0,z,e,p,y,15.0,57.01,a,0
15960411,27341,120.0,g,f,0,f,t,0.125,ff,ff,p,y,0.585,56.74,a,0
15960412,55317,260.0,g,f,2,t,f,0.25,v,cc,p,y,0.585,27.75,b,0
15960413,456,0.0,g,f,11,t,f,2.0,v,c,gg,u,1.0,36.0,a,0
15960414,690,352.0,p,t,5,t,f,1.75,v,c,g,u,0.75,16.08,b,0
15960415,600,40.0,g,t,44,t,f,1.625,v,w,g,u,9.5,18.83,a,0
15960416,284,290.0,g,t,11,t,f,2.3,h,w,g,u,11.5,23.08,b,0
15960417,300,160.0,g,t,0,f,f,5.1,v,w,p,y,11.625,23.33,b,0
15960418,50,80.0,g,t,1,t,f,0.335,h,cc,g,u,4.87,20.75,a,0
15960419,237,240.0,g,f,0,f,t,3.9,v,aa,g,u,1.04,41.58,a,1
15960420,0,0.0,s,t,0,f,t,3.1,v,d,g,u,1.585,30.75,b,1
15960421,0,0.0,g,f,0,f,f,2.585,h,c,p,y,5.88,22.67,b,0
15960422,0,1352.5,g,t,0,f,t,2.5,v,r,g,u,4.0,32.08,b,0
15960423,484,80.0,g,f,0,t,t,0.29,h,i,g,u,5.415,19.17,a,1
15960424,15976,240.0,g,t,0,f,t,1.0,v,aa,g,u,4.5,34.0,b,1
15960425,2954,80.0,g,f,7,t,f,1.46,h,w,g,u,6.5,14.01,b,0
15960426,0,0.0,g,f,0,f,f,8.3,dd,e,g,u,9.96,20.25,b,0
15960427,2,886.4,g,f,0,f,t,0.5,v,cc,g,u,12.835,25.83,b,1
15960428,0,360.0,g,f,0,f,f,0.875,h,x,g,u,2.875,26.89,a,0
15960429,2197,252.0,g,t,0,f,t,1.0,h,i,g,u,10.7,57.08,a,1
15960430,0,399.0,g,t,14,f,t,10.0,bb,cc,g,u,5.875,39.33,b,0
15960431,0,100.0,g,f,0,f,f,12.3,h,q,g,u,10.5,22.67,b,0
15960432,245,120.0,s,f,10,t,f,3.17,v,q,g,u,5.875,23.25,a,0
15960433,52948,45.0,g,f,4,t,t,0.0,ff,ff,p,y,0.0,19.0,b,1
15960434,47665,145.0,g,f,0,f,t,0.0,ff,ff,g,u,0.585,50.75,b,1
15960435,0,144.0,s,t,0,f,t,4.6,v,i,g,u,0.415,22.5,a,1
15960436,1,200.0,g,t,1,t,t,2.0,ff,ff,p,y,13.5,25.25,b,1
15960437,55234,368.0,s,f,0,f,t,2.0,v,m,g,u,1.5,27.67,a,1
15960438,0,80.0,g,f,0,f,t,14.8,ff,ff,g,u,10.29,18.58,b,1
15960439,42135,112.0,g,t,0,f,t,2.335,v,c,p,y,1.75,19.0,b,1
15960440,2,0.0,g,t,0,f,t,2.5,v,c,p,y,8.24,33.25,a,1
15960441,68,100.0,p,t,0,f,t,6.3,v,i,g,u,11.5,21.5,b,1
15960442,0,523.0,g,t,58,f,t,7.5,v,aa,g,u,19.21,31.83,b,1
15960443,0,702.6,s,f,0,f,f,0.835,v,c,g,u,1.0,23.25,b,0
