,A15,A14,A13,A12,A11,A10,A9,A8,A7,A6,A5,A4,A3,A2,A1,A16
360030,0,228.0,g,f,0,f,t,9.0,h,d,g,u,13.0,29.25,b,1
360031,0,228.0,g,f,0,t,t,0.5,h,d,g,u,13.0,29.25,b,1
360032,85248,228.0,g,f,0,f,t,0.5,h,d,g,u,13.0,29.25,b,1
360033,0,0.0,g,t,0,f,t,0.04,v,m,p,y,0.04,31.83,b,1
360034,45076,0.0,g,f,0,f,t,0.04,v,m,p,y,0.04,31.83,b,1
360035,0,0.0,g,f,0,f,t,0.04,v,m,g,y,0.04,31.83,b,1
360036,0,560.0,s,f,1,t,f,0.04,v,ff,g,y,0.04,41.0,b,0
360037,78154,560.0,g,f,1,t,f,0.04,v,e,g,u,0.04,41.0,b,0
360038,0,1424.1,s,f,1,t,f,0.04,v,e,g,u,8.83,41.0,b,0
360039,34094,163.0,g,t,0,f,t,0.25,bb,w,g,u,1.75,34.25,b,1
360040,0,163.0,g,t,58,f,t,0.25,j,w,g,u,1.75,34.25,b,1
360041,69989,163.0,g,t,0,f,t,0.25,bb,w,g,u,15.03,34.25,b,1
360042,0,204.0,g,f,6,t,f,4.25,h,m,g,u,2.75,33.58,b,0
360043,0,204.0,g,f,6,t,f,4.25,v,m,g,u,2.75,61.16,b,0
360044,0,204.0,g,f,6,t,f,4.25,v,m,g,u,6.78,33.58,b,0
360045,44,300.0,g,f,0,f,f,0.375,v,cc,g,u,24.23,33.67,a,0
360046,44,300.0,g,f,0,f,f,0.375,v,cc,g,u,1.47,33.67,a,0
360047,83116,300.0,g,f,0,f,f,13.5,v,cc,g,u,0.375,33.67,a,0
360048,1628,100.0,g,t,0,f,t,0.085,ff,ff,g,u,2.5,23.08,b,1
360049,4208,100.0,g,t,0,f,t,0.085,ff,aa,g,u,2.5,23.08,b,1
360050,4208,100.0,g,t,36,f,t,0.085,ff,ff,g,u,2.5,23.08,b,1
360051,210,140.0,g,t,3,t,t,1.375,h,c,p,y,7.58,20.67,b,1
360052,210,140.0,g,t,3,t,t,1.375,dd,c,g,y,1.25,20.67,b,1
360053,94278,140.0,g,t,3,t,t,1.375,h,c,p,l,1.25,20.67,b,1
360054,5800,400.0,g,t,0,f,f,0.04,v,cc,g,u,2.04,37.42,b,0
360055,5800,400.0,g,t,0,f,f,0.04,dd,w,g,u,2.04,37.42,b,0
360056,5800,1011.4,g,t,0,f,f,0.04,v,w,g,u,2.04,37.42,b,0
360057,17,0.0,g,t,0,f,t,1.25,h,k,g,y,12.5,26.17,b,1
360058,17,0.0,g,t,0,t,t,1.25,h,k,p,y,12.5,26.17,b,1
360059,17,0.0,g,t,28,f,t,1.25,h,k,p,y,12.5,26.17,b,1
