,A15,A14,A13,A12,A11,A10,A9,A8,A7,A6,A5,A4,A3,A2,A1,A16
760020,0,228.0,g,f,0,f,t,4.5,h,d,g,u,13.0,29.25,b,1
760021,0,0.0,g,f,0,f,t,0.04,v,m,p,l,0.04,31.83,b,1
760022,0,560.0,s,t,1,f,f,0.04,v,e,g,u,0.04,41.0,b,0
760023,23394,163.0,g,t,0,f,t,0.25,bb,w,g,u,1.75,32.73,b,1
760024,0,204.0,g,f,6,t,f,4.25,v,m,g,u,15.86,33.58,b,0
760025,44,300.0,g,f,0,f,f,0.375,v,cc,g,u,10.43,33.67,b,0
760026,4208,100.0,g,t,0,f,t,0.085,ff,ff,g,u,2.5,36.51,b,1
760027,210,140.0,g,t,3,t,t,1.375,dd,c,g,y,1.25,20.67,b,1
760028,5800,400.0,g,t,0,f,f,0.04,v,w,g,u,15.37,37.42,b,0
760029,17,0.0,g,t,16,f,t,1.25,h,k,p,y,12.5,26.17,b,1
760030,13212,1362.9,g,f,0,f,f,0.0,z,e,p,y,15.0,28.08,a,0
760031,67355,317.4,g,f,0,f,t,0.125,ff,ff,p,y,0.585,23.58,a,1
760032,500,260.0,g,f,12,t,f,0.25,v,cc,p,y,0.585,27.75,b,0
760033,84658,0.0,g,f,11,t,f,2.0,v,c,g,u,1.0,36.0,a,0
760034,690,352.0,g,t,5,t,f,1.75,v,c,g,u,0.75,28.4,b,0
760035,600,40.0,g,t,6,t,f,1.625,v,i,g,u,9.5,18.83,a,0
760036,284,290.0,g,t,11,t,f,2.125,h,w,g,u,11.5,46.53,b,0
760037,300,160.0,g,t,0,f,f,0.835,v,w,p,y,18.84,23.33,b,0
760038,50,80.0,g,t,1,t,f,0.335,h,cc,g,u,10.335,49.99,a,0
760039,47185,240.0,g,f,0,f,t,0.665,v,aa,g,u,1.04,41.58,a,1
