,A15,A14,A13,A12,A11,A10,A9,A8,A7,A6,A5,A4,A3,A2,A1,A16
1560160,0,228.0,g,f,0,f,t,7.8,h,d,g,u,13.0,29.25,b,1
1560161,0,519.2,g,f,0,f,t,0.5,h,d,g,u,13.0,29.25,b,1
1560162,0,228.0,g,f,35,f,t,0.5,h,d,g,u,13.0,29.25,b,1
1560163,0,228.0,g,f,0,f,t,8.3,h,d,g,u,13.0,29.25,b,1
1560164,0,0.0,g,f,0,f,t,0.04,v,w,p,y,0.04,31.83,b,1
1560165,0,0.0,g,t,0,f,t,0.04,v,m,p,y,0.04,31.83,b,1
1560166,52208,0.0,g,f,0,f,t,0.04,v,m,p,y,0.04,31.83,b,1
1560167,74638,0.0,g,f,0,f,t,0.04,v,m,p,y,0.04,31.83,b,1
1560168,0,560.0,s,t,1,t,f,0.04,v,e,g,u,4.32,41.0,b,0
1560169,0,560.0,s,t,65,t,f,0.04,v,e,g,u,0.04,41.0,b,0
1560170,0,560.0,s,f,1,t,f,0.04,v,e,g,u,18.2,41.0,b,0
1560171,0,560.0,s,f,1,t,f,7.9,dd,e,g,u,0.04,41.0,b,0
1560172,0,163.0,g,t,20,f,t,3.3,bb,w,g,u,1.75,34.25,b,1
1560173,0,163.0,g,t,0,f,t,0.25,h,w,g,u,1.75,34.25,a,1
1560174,14771,163.0,g,t,0,f,t,0.3,bb,w,g,u,1.75,34.25,b,1
1560175,93366,163.0,g,t,0,f,t,0.25,bb,w,g,u,1.75,34.25,b,1
1560176,0,204.0,g,f,6,t,f,14.5,v,m,g,u,2.75,33.58,b,0
1560177,0,1960.8,g,f,6,t,f,4.25,v,m,g,u,2.75,33.58,b,0
1560178,0,204.0,g,f,35,t,f,4.25,v,m,g,u,2.75,33.58,b,0
1560179,0,204.0,g,f,6,t,f,12.9,v,m,g,u,2.75,33.58,b,0
1560180,44,300.0,g,f,0,f,f,0.375,v,c,g,u,0.375,33.67,a,0
1560181,44,300.0,g,f,0,f,f,0.375,v,q,g,u,0.375,69.19,a,0
1560182,44,300.0,g,f,0,f,f,0.375,v,cc,g,u,0.375,32.86,b,0
1560183,44,300.0,g,f,19,f,f,0.375,v,cc,g,u,0.375,14.36,a,0
1560184,4208,100.0,g,t,0,f,t,0.085,ff,ff,g,u,2.5,46.91,b,1
1560185,4208,100.0,g,t,0,f,t,0.085,ff,x,g,u,2.5,23.08,b,1
1560186,4208,100.0,g,t,0,f,t,4.9,ff,ff,g,u,2.5,23.08,b,1
1560187,4208,100.0,g,t,0,t,t,0.085,ff,ff,g,u,2.5,23.08,b,1
1560188,70284,140.0,p,t,3,t,t,1.375,h,c,p,y,1.25,20.67,b,1
1560189,210,140.0,g,t,12,t,t,1.375,h,aa,p,y,1.25,20.67,b,1
1560190,46043,140.0,g,t,3,t,t,1.375,h,i,p,y,1.25,20.67,b,1
1560191,65790,140.0,g,t,3,t,t,1.375,n,c,p,y,1.25,20.67,b,1
1560192,91756,400.0,g,t,0,f,f,0.04,v,w,g,u,2.04,37.42,b,0
1560193,5800,400.0,g,t,0,f,f,0.04,bb,w,g,u,2.04,37.42,b,0
1560194,5800,400.0,g,t,0,f,f,0.04,v,w,g,u,11.89,37.42,b,0
1560195,5800,400.0,g,t,0,t,f,0.04,v,w,g,u,2.04,37.42,b,0
1560196,65158,0.0,g,t,0,f,t,1.25,h,k,p,y,12.5,26.17,b,1
1560197,17,0.0,g,t,0,f,t,1.25,h,k,g,y,12.5,26.17,b,1
1560198,29721,0.0,g,t,0,f,t,1.25,h,k,p,y,12.5,26.17,b,1
1560199,17,0.0,g,t,52,f,t,1.25,h,k,p,y,12.5,26.17,b,1
1560200,87615,0.0,g,f,0,f,f,0.0,z,e,p,y,15.0,28.08,a,0
1560201,13212,0.0,g,f,0,f,f,0.0,j,e,p,y,15.0,28.08,a,0
1560202,13212,0.0,g,f,0,f,f,0.0,z,i,p,y,15.0,28.08,a,0
1560203,13212,0.0,g,f,0,f,f,13.6,z,e,p,y,15.0,28.08,a,0
1560204,12150,120.0,g,f,0,f,t,0.125,ff,w,p,y,0.585,23.58,a,1
1560205,81456,120.0,g,f,0,f,t,18.4,ff,ff,p,y,0.585,23.58,a,0
1560206,6078,120.0,g,f,0,f,t,0.125,h,ff,p,y,0.585,23.58,a,1
1560207,52139,120.0,g,f,0,f,t,0.125,ff,d,p,y,0.585,23.58,a,1
1560208,50522,260.0,g,f,2,t,f,0.25,v,cc,p,y,0.585,27.75,b,0
1560209,500,260.0,g,f,2,t,f,0.25,v,aa,p,y,0.585,27.75,b,0
1560210,500,260.0,g,f,2,t,f,0.25,v,cc,p,y,1.09,27.75,b,0
1560211,500,260.0,g,f,2,t,f,14.5,v,cc,p,y,0.585,27.75,b,0
1560212,456,0.0,g,f,11,t,f,2.0,v,c,g,u,1.0,36.0,a,0
