,A15,A14,A13,A12,A11,A10,A9,A8,A7,A6,A5,A4,A3,A2,A1,A16
3960100,85727,228.0,g,f,0,f,t,0.5,h,d,g,u,13.0,29.25,b,1
3960101,43983,0.0,g,f,0,f,t,0.04,v,m,p,y,0.04,31.83,b,1
3960102,0,560.0,s,f,8,t,f,0.04,v,e,g,u,22.47,41.0,b,0
3960103,70671,163.0,g,t,0,f,t,0.25,bb,w,g,u,1.75,34.25,b,1
3960104,0,204.0,g,f,62,t,f,4.25,v,m,g,u,2.75,33.58,b,0
3960105,44,300.0,g,f,0,f,f,0.375,n,q,g,u,0.375,33.67,a,0
3960106,4208,484.4,g,t,0,f,t,0.085,ff,ff,g,u,2.5,23.08,b,1
3960107,14508,140.0,g,t,3,t,t,1.375,h,c,p,y,1.25,20.67,b,1
3960108,5800,400.0,g,t,0,f,f,0.04,v,w,g,u,2.04,19.79,b,0
3960109,17,0.0,g,t,0,f,t,0.0,h,k,p,y,12.5,26.17,b,1
3960110,13212,0.0,g,f,0,f,f,0.0,z,e,p,y,1.24,28.08,a,0
3960111,70984,120.0,g,f,0,f,t,0.125,ff,ff,p,y,0.585,23.58,a,1
3960112,31722,260.0,g,f,2,t,f,0.25,v,cc,p,y,0.585,27.75,b,0
3960113,456,1424.9,g,f,11,t,f,2.0,v,c,g,u,1.0,36.0,a,0
3960114,690,352.0,g,t,5,t,f,1.75,dd,c,g,u,0.75,16.08,b,0
3960115,600,40.0,g,t,59,t,f,1.625,v,w,g,u,9.5,18.83,a,0
3960116,284,290.0,g,t,11,t,f,2.125,h,w,p,u,11.5,23.08,b,0
3960117,300,160.0,g,t,22,f,f,0.835,v,w,p,y,11.625,23.33,b,0
3960118,31513,80.0,g,t,1,t,f,0.335,h,cc,g,u,10.335,20.75,a,0
3960119,237,240.0,g,f,0,f,t,0.665,v,aa,g,u,22.51,41.58,a,1
3960120,0,0.0,s,t,0,f,t,0.585,v,d,g,u,19.05,30.75,b,1
3960121,0,487.9,g,f,0,f,f,2.585,h,c,p,y,2.54,22.67,b,0
3960122,0,1606.9,g,t,0,f,t,2.5,h,m,g,u,4.0,32.08,b,0
3960123,484,80.0,g,f,0,f,t,7.6,h,i,g,u,5.415,19.17,a,1
3960124,44262,240.0,g,t,0,f,t,1.0,v,aa,g,u,4.5,34.0,b,1
3960125,2954,80.0,g,f,7,t,f,1.46,h,cc,g,u,6.5,19.42,b,0
3960126,0,0.0,g,f,0,f,f,0.0,dd,e,g,l,9.96,20.25,b,0
3960127,2,0.0,g,f,0,f,t,0.5,v,cc,g,u,4.58,25.83,b,1
3960128,0,360.0,g,f,0,f,f,12.5,h,x,g,u,2.875,25.17,a,0
3960129,2197,252.0,g,t,0,f,t,13.4,bb,i,g,u,19.68,57.08,a,1
3960130,0,399.0,s,t,14,t,f,10.0,h,cc,g,u,5.875,39.33,b,0
3960131,0,100.0,g,f,0,f,f,1.335,h,q,g,l,10.5,22.67,b,0
3960132,245,120.0,p,f,10,t,f,3.17,v,q,g,u,5.875,23.25,a,0
3960133,1,45.0,g,f,4,t,t,0.0,ff,ff,p,y,0.0,60.87,b,1
3960134,34341,145.0,g,f,0,f,t,0.0,ff,ff,g,u,0.585,50.75,b,1
