,A15,A14,A13,A12,A11,A10,A9,A8,A7,A6,A5,A4,A3,A2,A1,A16
7960600,59436,228.0,g,f,0,f,t,0.5,h,d,g,u,13.0,29.25,b,1
7960601,0,228.0,g,f,0,t,t,0.5,h,d,g,u,13.0,29.25,b,1
7960602,5676,228.0,g,f,0,f,t,0.5,h,d,g,u,13.0,29.25,b,1
7960603,0,0.0,g,f,0,f,t,0.04,v,d,p,y,0.04,31.83,b,1
7960604,0,0.0,g,f,0,f,t,0.04,v,m,p,y,0.44,31.83,b,0
7960605,0,0.0,g,f,0,f,t,0.04,h,m,p,y,0.04,31.83,b,1
7960606,0,560.0,s,f,1,t,f,16.3,v,e,g,u,0.04,41.0,b,0
7960607,0,560.0,s,f,1,t,f,0.04,v,e,g,u,1.76,41.0,b,0
7960608,0,560.0,s,f,1,t,f,0.04,v,cc,g,u,17.01,41.0,b,0
7960609,52746,163.0,g,t,0,f,t,0.25,bb,w,g,u,1.75,34.25,b,1
7960610,41351,163.0,g,t,0,f,t,0.25,bb,aa,g,u,1.75,34.25,b,1
7960611,96663,163.0,g,t,0,f,t,0.25,bb,w,g,y,1.75,34.25,b,1
7960612,0,204.0,g,f,6,t,f,0.7,v,m,g,u,2.75,33.58,b,0
7960613,0,204.0,g,f,6,t,f,4.25,v,m,g,u,3.13,33.58,b,0
7960614,0,204.0,g,f,6,t,f,4.25,v,m,g,u,14.25,33.58,b,0
7960615,44,300.0,g,f,0,f,f,0.375,v,cc,g,u,17.63,33.67,a,0
7960616,44,300.0,g,f,0,f,f,10.7,v,cc,g,u,0.375,33.67,a,0
7960617,44,300.0,p,f,0,f,f,8.7,v,cc,g,u,0.375,33.67,a,0
7960618,93754,100.0,g,t,0,f,t,0.085,ff,ff,g,u,2.5,23.08,b,1
7960619,4208,100.0,g,t,0,f,t,0.085,ff,w,g,u,2.5,23.08,b,1
7960620,4208,932.9,g,t,0,f,t,0.085,ff,ff,g,u,2.5,23.08,b,1
7960621,210,1673.9,g,t,3,t,t,1.375,h,c,p,y,1.25,20.67,b,1
7960622,210,140.0,g,t,3,t,t,3.1,h,c,p,y,19.99,20.67,b,1
7960623,210,717.1,g,t,3,t,t,1.375,h,k,p,y,1.25,20.67,b,1
7960624,5800,400.0,g,t,0,f,f,0.04,v,w,g,u,19.24,37.42,b,0
7960625,5800,400.0,g,t,0,f,f,0.04,v,w,g,u,8.5,37.42,b,0
7960626,5800,400.0,g,t,0,f,f,12.3,v,w,g,u,2.04,37.42,b,0
7960627,17,0.0,g,t,37,f,t,1.25,h,k,p,y,12.5,26.17,b,1
7960628,17,0.0,g,t,50,f,t,1.25,h,k,p,y,12.5,26.17,b,1
7960629,17,0.0,g,t,0,f,t,1.25,h,w,p,y,12.5,26.17,b,1
7960630,13212,0.0,s,f,0,f,f,0.0,z,e,p,y,15.0,28.08,a,0
